"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5572";"Spectra.Count.P5572";"DNSAF.P5572";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc"
"33";33;"O75947";"O75947-1,O75947-2";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";6;11;"0.00265978313646375";6;11;"0";0;"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";0,00247469066366704
"34";34;"O75964";"O75964";"ATP5L_HUMAN";"ATP synthase subunit g, mitochondrial";"ATP5L";2;2;"0.0015118273079282";2;2;"0.00191430651095335";0;"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";0,000449943757030371
"37";37;"O95182";"O95182";"NDUA7_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7";"NDUFA7";6;9;"0.00620116776305064";6;9;"0.00785204484802545";0;"mitochondrial respiratory chain complex I";0,00202474690663667
"41";41;"O95757";"O95757";"HS74L_HUMAN";"Heat shock 70 kDa protein 4L";"HSPA4L";1;1;"1.34559838163932E-4";1;1;"1.7038240608515E-4";2;"cytoplasm, nucleus";0,000224971878515186
"43";43;"O95983";"O95983-1,O95983-2";"MBD3_HUMAN";"Methyl-CpG-binding domain protein 3";"MBD3";2;2;"2.67557066523376E-4";2;2;"0";0;"cytoplasm, heterochromatin, NuRD complex";0,000449943757030371
"44";44;"O96000";"O96000";"NDUBA_HUMAN";"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10";"NDUFB10";6;11;"0.00497936145314725";6;11;"0.00630496882822715";0;"mitochondrial respiratory chain complex I";0,00247469066366704
"46";46;"P00367";"P00367";"DHE3_HUMAN";"Glutamate dehydrogenase 1, mitochondrial";"GLUD1";4;5;"6.97662243353965E-4";4;5;"8.83394133638865E-4";0;"mitochondrial matrix";0,00112485939257593
"49";49;"P02545";"P02545-1,P02545-2,P02545-3";"LMNA_HUMAN";"Prelamin-A/C";"LMNA";9;10;"3.99844231286578E-4";9;10;"0";2;"nuclear envelope, nucleoplasm, cytosol, lamin filament, nuclear speck, perinuclear region of cytoplasm";0,00224971878515186
"60";60;"P05114";"P05114";"HMGN1_HUMAN";"Non-histone chromosomal protein HMG-14";"HMGN1";1;1;"7.78591063583025E-4";1;1;"9.85867853140973E-4";0;"chromatin, nucleus, cytoplasm";0,000224971878515186
"62";62;"P05204";"P05204";"HMGN2_HUMAN";"Non-histone chromosomal protein HMG-17";"HMGN2";3;7;"0.00605570827231241";3;7;"0.00766786107998535";0;"cytoplasm, nucleus, chromatin";0,0015748031496063
"65";65;"P06454";"P06454-1,P06454-2";"PTMA_HUMAN";"Prothymosin alpha";"PTMA";2;2;"7.01433390615338E-4";2;2;"0";0;"cytoplasm, nucleus";0,000449943757030371
"71";71;"P06748";"P06748-1";"NPM_HUMAN";"Nucleophosmin";"NPM1";11;18;"0.00476688406275321";11;18;"0";0;"spindle pole centrosome, ribonucleoprotein complex, cytosol, nucleolus, nucleoplasm";0,00404949381327334
"77";77;"P07814";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";5;5;"2.57470589809201E-4";5;5;"3.26014501700057E-4";0;"GAIT complex, ribonucleoprotein complex, cytosol";0,00112485939257593
"80";80;"P07919";"P07919";"QCR6_HUMAN";"Cytochrome b-c1 complex subunit 6, mitochondrial";"UQCRH";2;2;"0.00171118915073192";2;2;"0.00216674253437577";0;"mitochondrial respiratory chain complex III, mitochondrial respiratory chain";0,000449943757030371
"85";85;"P08708";"P08708,P0CW22";"RS17L_HUMAN, RS17_HUMAN";"40S ribosomal protein S17, 40S ribosomal protein S17-like";"RPS17, RPS17L";4;5;"0.00144183530293153";4;5;"0.00182568120952032";0;"cytosolic small ribosomal subunit";0,00112485939257593
"88";88;"P09874";"P09874";"PARP1_HUMAN";"Poly [ADP-ribose] polymerase 1";"PARP1";5;6;"4.60704771350902E-4";5;6;"5.83353759255014E-4";0;"nuclear envelope, transcription factor complex, nucleoplasm, nucleolus";0,00134983127109111
"90";90;"P0C0S5";"P0C0S5,Q71UI9-1";"H2AV_HUMAN, H2AZ_HUMAN";"Histone H2A.V, Histone H2A.Z";"H2AFV, H2AFZ";2;5;"0.00536139178899569";2;5;"0.013577406831619";32;"nucleosome, nucleus";0,00112485939257593
"98";98;"P11177";"P11177-1,P11177-2,P11177-3";"ODPB_HUMAN";"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial";"PDHB";2;4;"2.89170311451448E-4";2;4;"0";0;"mitochondrial matrix, pyruvate dehydrogenase complex";0,000899887514060742
"99";99;"P11310";"P11310-1,P11310-2";"ACADM_HUMAN";"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial";"ACADM";1;1;"9.24692474564162E-5";1;1;"0";0;"axon, mitochondrial matrix";0,000224971878515186
"101";101;"P11940";"P11940-1,P11940-2";"PABP1_HUMAN";"Polyadenylate-binding protein 1";"PABPC1";9;16;"0.00146903974260948";9;16;"0";10;"cytosol, catalytic step 2 spliceosome, cytoplasmic stress granule";0,00359955005624297
"110";110;"P13804";"P13804-1,P13804-2";"ETFA_HUMAN";"Electron transfer flavoprotein subunit alpha, mitochondrial";"ETFA";3;3;"3.50716695307669E-4";3;3;"0";0;"mitochondrial matrix";0,000674915635545557
"112";112;"P14406";"P14406";"CX7A2_HUMAN";"Cytochrome c oxidase subunit 7A2, mitochondrial";"COX7A2";3;6;"0.00562836913433512";3;6;"0.0071267555648745";0;"mitochondrial respiratory chain";0,00134983127109111
"117";117;"P14927";"P14927";"QCR7_HUMAN";"Cytochrome b-c1 complex subunit 7";"UQCRB";7;15;"0.0105215008592301";7;15;"0.0133225385559591";0;"mitochondrial respiratory chain, mitochondrial respiratory chain complex III";0,00337457817772778
"121";121;"P16403";"P16403";"H12_HUMAN";"Histone H1.2";"HIST1H1C";7;15;"0.00548303565903539";7;15;"0.0069427313601477";0;"nucleus, nucleosome";0,00337457817772778
"125";125;"P17980";"P17980";"PRS6A_HUMAN";"26S protease regulatory subunit 6A";"PSMC3";5;6;"0.00106413357209525";5;6;"0.00134742758971431";0;"cytoplasmic mRNA processing body, cytosol, perinuclear region of cytoplasm, proteasome accessory complex, nucleoplasm";0,00134983127109111
"130";130;"P18859";"P18859";"ATP5J_HUMAN";"ATP synthase-coupling factor 6, mitochondrial";"ATP5J";5;10;"0.00720917651465764";5;10;"0.0091284060476016";0;"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";0,00224971878515186
"141";141;"P22307";"P22307-1,P22307-2";"NLTP_HUMAN";"Non-specific lipid-transfer protein";"SCP2";3;5;"3.55846007122041E-4";3;5;"0";0;"mitochondrion, protein complex, nucleus, peroxisomal matrix";0,00112485939257593
"145";145;"P22626";"P22626-1";"ROA2_HUMAN";"Heterogeneous nuclear ribonucleoproteins A2/B1";"HNRNPA2B1";15;24;"0.00575738095542886";15;24;"0";4;"nucleoplasm, cytoplasm, nucleolus, catalytic step 2 spliceosome";0,00539932508436445
"147";147;"P23193";"P23193-1";"TCEA1_HUMAN";"Transcription elongation factor A protein 1";"TCEA1";8;12;"0.00310401752923465";8;12;"0";0;"nucleolus, nucleoplasm";0,00269966254218223
"148";148;"P23246";"P23246-1";"SFPQ_HUMAN";"Splicing factor, proline- and glutamine-rich";"SFPQ";16;28;"0.00319172296344613";16;28;"0";2;"paraspeckles, nuclear matrix, cytoplasm";0,0062992125984252
"151";151;"P23527";"P23527,P33778,Q16778";"H2B1B_HUMAN, H2B1O_HUMAN, H2B2E_HUMAN";"Histone H2B type 1-B, Histone H2B type 1-O, Histone H2B type 2-E";"HIST1H2BB, HIST1H2BO, HIST2H2BE";1;1;"0.00127705412545364";1;1;"0.00161703192843228";26;"nucleosome, nucleus";0,000224971878515186
"153";153;"P23588";"P23588";"IF4B_HUMAN";"Eukaryotic translation initiation factor 4B";"EIF4B";7;10;"0.00127428979309824";7;10;"0.00161353167453514";0;"cytosol, eukaryotic translation initiation factor 4F complex";0,00224971878515186
"154";154;"P24539";"P24539";"AT5F1_HUMAN";"ATP synthase subunit b, mitochondrial";"ATP5F1";2;2;"6.08274268424238E-4";2;2;"7.70209260266385E-4";0;"mitochondrial matrix, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";0,000449943757030371
"156";156;"P25205";"P25205";"MCM3_HUMAN";"DNA replication licensing factor MCM3";"MCM3";5;7;"6.74521961024898E-4";5;7;"8.54093437127081E-4";0;"nucleoplasm, perinuclear region of cytoplasm, centrosome, alpha DNA polymerase:primase complex, MCM complex";0,0015748031496063
"157";157;"P25398";"P25398";"RS12_HUMAN";"40S ribosomal protein S12";"RPS12";2;5;"0.00294920857417812";2;5;"0.00373434792856429";0;"cytosolic small ribosomal subunit";0,00112485939257593
"162";162;"P26373";"P26373";"RL13_HUMAN";"60S ribosomal protein L13";"RPL13";5;9;"0.00332100453661006";5;9;"0.0042051235442032";0;"cytosolic large ribosomal subunit";0,00202474690663667
"163";163;"P26641";"P26641";"EF1G_HUMAN";"Elongation factor 1-gamma";"EEF1G";7;9;"0.00160350562293987";7;9;"0.00203039145955807";0;"cytosol, eukaryotic translation elongation factor 1 complex";0,00202474690663667
"173";173;"P29692";"P29692-1,P29692-2";"EF1D_HUMAN";"Elongation factor 1-delta";"EEF1D";7;12;"0.00166247202188546";7;12;"0";0;"nucleus, eukaryotic translation elongation factor 1 complex, cytosol";0,00269966254218223
"176";176;"P30048";"P30048";"PRDX3_HUMAN";"Thioredoxin-dependent peroxide reductase, mitochondrial";"PRDX3";1;2;"6.08274268424238E-4";1;2;"7.70209260266385E-4";0;"early endosome, mitochondrion";0,000449943757030371
"177";177;"P30049";"P30049";"ATPD_HUMAN";"ATP synthase subunit delta, mitochondrial";"ATP5D";3;4;"0.00185378824662625";3;4;"0.00234730441224041";0;"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1), mitochondrial matrix";0,000899887514060742
"182";182;"P31040";"P31040";"DHSA_HUMAN";"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial";"SDHA";2;2;"2.34515380597297E-4";2;2;"2.96948148536438E-4";0;"mitochondrial respiratory chain complex II";0,000449943757030371
"184";184;"P31153";"P31153";"METK2_HUMAN";"S-adenosylmethionine synthase isoform type-2";"MAT2A";3;3;"5.91334984999766E-4";3;3;"7.48760394790612E-4";0;"cytosol, methionine adenosyltransferase complex";0,000674915635545557
"186";186;"P31930";"P31930";"QCR1_HUMAN";"Cytochrome b-c1 complex subunit 1, mitochondrial";"UQCRC1";17;31;"0.0050284006189737";17;31;"0.00636706321820212";0;"mitochondrial respiratory chain complex III, mitochondrial respiratory chain";0,00697412823397075
"188";188;"P31942";"P31942-1,P31942-2,P31942-3";"HNRH3_HUMAN";"Heterogeneous nuclear ribonucleoprotein H3";"HNRNPH3";4;5;"3.75043864924386E-4";4;5;"0";0;"spliceosomal complex";0,00112485939257593
"189";189;"P31943";"P31943";"HNRH1_HUMAN";"Heterogeneous nuclear ribonucleoprotein H";"HNRNPH1";1;1;"8.54641797442391E-4";1;1;"0.00108216484038701";12;"cytoplasm, catalytic step 2 spliceosome, nucleoplasm, actin cytoskeleton";0,000224971878515186
"191";191;"P31948";"P31948";"STIP1_HUMAN";"Stress-induced-phosphoprotein 1";"STIP1";8;10;"0.00143386936203135";8;10;"0.00181559457300363";0;"Golgi apparatus, nucleus";0,00224971878515186
"193";193;"P33176";"P33176";"KINH_HUMAN";"Kinesin-1 heavy chain";"KIF5B";4;5;"4.04252888672391E-4";4;5;"5.11873236314109E-4";0;"perinuclear region of cytoplasm, ciliary rootlet, microtubule, vesicle, neuron projection, kinesin complex";0,00112485939257593
"195";195;"P33991";"P33991";"MCM4_HUMAN";"DNA replication licensing factor MCM4";"MCM4";15;21;"0.00189460166109427";15;21;"0.00239898318840793";0;"MCM complex, nucleoplasm";0,0047244094488189
"196";196;"P33993";"P33993-1";"MCM7_HUMAN";"DNA replication licensing factor MCM7";"MCM7";21;33;"0.00357350557694573";21;33;"0";0;"cytosol, MCM complex, nucleoplasm, chromatin";0,00742407199100112
"198";198;"P34931";"P34931";"HS71L_HUMAN";"Heat shock 70 kDa protein 1-like";"HSPA1L";0;0;"0";0;0;"0";29;"mitochondrial matrix, zona pellucida receptor complex, blood microparticle, cell body";0
"200";200;"P35249";"P35249";"RFC4_HUMAN";"Replication factor C subunit 4";"RFC4";4;7;"0.00150141527412704";4;7;"0.00190112258181455";0;"DNA replication factor C complex, nucleoplasm";0,0015748031496063
"202";202;"P35637";"P35637-1,P35637-2";"FUS_HUMAN";"RNA-binding protein FUS";"FUS";3;8;"5.92084458998498E-4";3;8;"0";0;"nucleoplasm, cytoplasm";0,00179977502812148
"205";205;"P36542";"P36542-1,P36542-2";"ATPG_HUMAN";"ATP synthase subunit gamma, mitochondrial";"ATP5C1";8;17;"0.00222081343639453";8;17;"0";0;"mitochondrial matrix, mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)";0,00382452193475816
"208";208;"P37108";"P37108";"SRP14_HUMAN";"Signal recognition particle 14 kDa protein";"SRP14";2;2;"0.00114498685821033";2;2;"0.00144980566638378";0;"signal recognition particle, endoplasmic reticulum targeting, cytosol";0,000449943757030371
"210";210;"P38117";"P38117-1,P38117-2";"ETFB_HUMAN";"Electron transfer flavoprotein subunit beta";"ETFB";2;3;"4.57994743284132E-4";2;3;"0";0;"mitochondrial matrix";0,000674915635545557
"214";214;"P38919";"P38919";"IF4A3_HUMAN";"Eukaryotic initiation factor 4A-III";"EIF4A3";1;1;"2.10486905537449E-4";1;1;"2.66522804309536E-4";3;"nuclear speck, catalytic step 2 spliceosome, cytosol, exon-exon junction complex";0,000224971878515186
"225";225;"P42331";"P42331-1,P42331-3,P42331-4";"RHG25_HUMAN";"Rho GTPase-activating protein 25";"ARHGAP25";1;1;"4.02372642678566E-5";1;1;"0";0;"cytosol";0,000224971878515186
"231";231;"P43487";"P43487";"RANG_HUMAN";"Ran-specific GTPase-activating protein";"RANBP1";3;4;"0.00154943495240403";3;4;"0.00196192607590243";0;"cytoplasm, nuclear envelope, centrosome";0,000899887514060742
"233";233;"P46013";"P46013-1,P46013-2";"KI67_HUMAN";"Antigen KI-67";"MKI67";2;2;"2.39125019527956E-5";2;2;"0";0;"chromosome, centromeric region, cytoplasm, condensed chromosome, nucleolus";0,000449943757030371
"235";235;"P46778";"P46778";"RL21_HUMAN";"60S ribosomal protein L21";"RPL21";2;3;"0.00145985824421817";2;3;"0.00184850222463932";0;"cytosolic large ribosomal subunit";0,000674915635545557
"236";236;"P46783";"P46783";"RS10_HUMAN";"40S ribosomal protein S10";"RPS10";13;24;"0.011324960924844";13;24;"0.0143398960456869";0;"nucleolus, cytosolic small ribosomal subunit";0,00539932508436445
"241";241;"P48444";"P48444";"COPD_HUMAN";"Coatomer subunit delta";"ARCN1";2;2;"3.04732314513904E-4";2;2;"3.85858259546369E-4";0;"cytosol, COPI vesicle coat, endoplasmic reticulum, clathrin adaptor complex";0,000449943757030371
"245";245;"P49321";"P49321-1,P49321-2,P49321-3";"NASP_HUMAN";"Nuclear autoantigenic sperm protein";"NASP";4;4;"1.31741296714556E-4";4;4;"0";0;"cytoplasm, nucleus";0,000899887514060742
"249";249;"P49458";"P49458-1";"SRP09_HUMAN";"Signal recognition particle 9 kDa protein";"SRP9";6;10;"0.00905338446026773";6;10;"0";0;"cytosol, signal recognition particle receptor complex, signal recognition particle, endoplasmic reticulum targeting";0,00224971878515186
"251";251;"P49736";"P49736";"MCM2_HUMAN";"DNA replication licensing factor MCM2";"MCM2";9;13;"0.00111965529055081";9;13;"0.00141773031978237";0;"nuclear origin of replication recognition complex, nucleoplasm, chromatin, MCM complex";0,00292463442069741
"254";254;"P49915";"P49915";"GUAA_HUMAN";"GMP synthase [glutamine-hydrolyzing]";"GMPS";3;3;"3.370524084775E-4";3;3;"4.26782620407348E-4";0;"cytosol";0,000674915635545557
"255";255;"P50213";"P50213-1,P50213-2";"IDH3A_HUMAN";"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial";"IDH3A";1;1;"1.06364899396588E-4";1;1;"0";0;"mitochondrial matrix";0,000224971878515186
"265";265;"P51610";"P51610-1,P51610-2";"HCFC1_HUMAN";"Host cell factor 1";"HCFC1";5;6;"1.14780009373419E-4";5;6;"0";0;"histone acetyltransferase complex, MLL5-L complex, Set1C/COMPASS complex, neuronal cell body, mitochondrion, MLL1 complex";0,00134983127109111
"267";267;"P51991";"P51991-1,P51991-2";"ROA3_HUMAN";"Heterogeneous nuclear ribonucleoprotein A3";"HNRNPA3";6;13;"0.00136275505034727";6;13;"0";1;"nucleoplasm, nucleolus, catalytic step 2 spliceosome";0,00292463442069741
"269";269;"P52292";"P52292";"IMA2_HUMAN";"Importin subunit alpha-2";"KPNA2";5;10;"0.00147181675535543";5;10;"0.00186364433486006";0;"cytosol, nucleoplasm";0,00224971878515186
"271";271;"P52597";"P52597";"HNRPF_HUMAN";"Heterogeneous nuclear ribonucleoprotein F";"HNRNPF";4;5;"0.001809118650322";4;5;"0.00229074286013823";6;"catalytic step 2 spliceosome, nucleoplasm, cytoplasm";0,00112485939257593
"272";272;"P52815";"P52815";"RM12_HUMAN";"39S ribosomal protein L12, mitochondrial";"MRPL12";4;8;"0.00314582247912333";4;8;"0.00398330445713524";0;"mitochondrial large ribosomal subunit";0,00179977502812148
"277";277;"P55036";"P55036-1";"PSMD4_HUMAN";"26S proteasome non-ATPase regulatory subunit 4";"PSMD4";3;5;"0.00103261414268306";3;5;"0";0;"proteasome regulatory particle, base subcomplex, cytosol, nucleoplasm, proteasome accessory complex";0,00112485939257593
"280";280;"P55209";"P55209";"NP1L1_HUMAN";"Nucleosome assembly protein 1-like 1";"NAP1L1";4;4;"7.96512597015882E-4";4;4;"0.00100856046357133";0;"melanosome, nucleus";0,000899887514060742
"281";281;"P55327";"P55327-1,P55327-2,P55327-3,P55327-4";"TPD52_HUMAN";"Tumor protein D52";"TPD52";3;5;"4.34481620303027E-4";3;5;"0";0;"perinuclear region of cytoplasm, endoplasmic reticulum";0,00112485939257593
"282";282;"P55769";"P55769";"NH2L1_HUMAN";"NHP2-like protein 1";"NHP2L1";3;4;"0.00243309707369695";3;4;"0.00308083704106554";0;"nucleoplasm, box C/D snoRNP complex, spliceosomal complex";0,000899887514060742
"283";283;"P55795";"P55795";"HNRH2_HUMAN";"Heterogeneous nuclear ribonucleoprotein H2";"HNRNPH2";1;1;"7.67939006397511E-4";1;1;"9.72380001507164E-4";9;"nucleoplasm, actin cytoskeleton, cytoplasm, ribonucleoprotein complex";0,000224971878515186
"284";284;"P55809";"P55809";"SCOT1_HUMAN";"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial";"OXCT1";1;2;"2.99458101378086E-4";1;2;"3.79179943515759E-4";0;"mitochondrial matrix, mitochondrion";0,000449943757030371
"285";285;"P55854";"P55854,P61956-1,P61956-2,Q6EEV6";"SUMO2_HUMAN, SUMO3_HUMAN, SUMO4_HUMAN";"Small ubiquitin-related modifier 2, Small ubiquitin-related modifier 3, Small ubiquitin-related modifier 4";"SUMO2, SUMO3, SUMO4";1;1;"2.00667799892532E-4";1;1;"4.97913057141906E-4";0;"cytoplasm, nuclear body, nucleoplasm, kinetochore";0,000224971878515186
"287";287;"P56385";"P56385";"ATP5I_HUMAN";"ATP synthase subunit e, mitochondrial";"ATP5I";5;9;"0.0101555356119525";5;9;"0.0128591459105344";0;"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o), mitochondrial proton-transporting ATP synthase complex";0,00202474690663667
"298";298;"P61289";"P61289-1,P61289-2";"PSME3_HUMAN";"Proteasome activator complex subunit 3";"PSME3";2;3;"4.597978721947E-4";2;3;"0";0;"proteasome activator complex, nucleoplasm, proteasome complex, cytosol";0,000674915635545557
"302";302;"P61962";"P61962";"DCAF7_HUMAN";"DDB1- and CUL4-associated factor 7";"DCAF7";2;4;"9.10632822904122E-4";2;4;"0.00115306181653915";0;"cytoplasm, Cul4-RING ubiquitin ligase complex, nuclear matrix";0,000899887514060742
"306";306;"P62191";"P62191";"PRS4_HUMAN";"26S protease regulatory subunit 4";"PSMC1";1;2;"4.95467040461925E-4";1;2;"6.27370451998801E-4";2;"proteasome accessory complex, cytosol, nucleoplasm";0,000449943757030371
"312";312;"P62266";"P62266";"RS23_HUMAN";"40S ribosomal protein S23";"RPS23";3;4;"0.00217787710093154";3;4;"0.00275767231647825";0;"cytosolic small ribosomal subunit";0,000899887514060742
"316";316;"P62306";"P62306";"RUXF_HUMAN";"Small nuclear ribonucleoprotein F";"SNRPF";2;3;"0.00271601533808032";2;3;"0.00343907390630572";0;"U7 snRNP, cytosol, nucleoplasm, U1 snRNP, pICln-Sm protein complex, U12-type spliceosomal complex, methylosome, catalytic step 2 spliceosome, SMN-Sm protein complex, U4 snRNP";0,000674915635545557
"317";317;"P62318";"P62318";"SMD3_HUMAN";"Small nuclear ribonucleoprotein Sm D3";"SNRPD3";3;8;"0.00494343532433666";3;8;"0.0062594784326411";0;"methylosome, U1 snRNP, U7 snRNP, nucleoplasm, U4 snRNP, SMN-Sm protein complex, pICln-Sm protein complex, catalytic step 2 spliceosome, cytosol, U12-type spliceosomal complex";0,00179977502812148
"320";320;"P62495";"P62495";"ERF1_HUMAN";"Eukaryotic peptide chain release factor subunit 1";"ETF1";2;4;"7.12669165751052E-4";2;4;"9.0239620424803E-4";0;"cytosol";0,000899887514060742
"323";323;"P62753";"P62753";"RS6_HUMAN";"40S ribosomal protein S6";"RPS6";4;6;"0.00187612304477837";4;6;"0.0023755851882915";0;"cytosolic small ribosomal subunit, nucleolus";0,00134983127109111
"332";332;"P63162";"P63162";"RSMN_HUMAN";"Small nuclear ribonucleoprotein-associated protein N";"SNRPN";4;6;"0.00194647765895756";4;6;"0.00246466963285243";0;"U1 snRNP, small nuclear ribonucleoprotein complex, U2 snRNP, spliceosomal complex";0,00134983127109111
"333";333;"P63173";"P63173";"RL38_HUMAN";"60S ribosomal protein L38";"RPL38";3;4;"0.00479132962204938";3;4;"0.00606687909625214";1;"cytosolic large ribosomal subunit, eukaryotic 80S initiation complex";0,000899887514060742
"338";338;"P68363";"P68363";"TBA1B_HUMAN";"Tubulin alpha-1B chain";"TUBA1B";0;0;"0";0;0;"0";30;"microtubule, cytoplasmic microtubule";0
"343";343;"P78347";"P78347-1,P78347-2,P78347-3,P78347-4";"GTF2I_HUMAN";"General transcription factor II-I";"GTF2I";2;2;"3.90075683157828E-5";2;2;"0";0;"nucleus, cytoplasm, neuronal cell body, cell projection";0,000449943757030371
"345";345;"P78527";"P78527-1,P78527-2";"PRKDC_HUMAN";"DNA-dependent protein kinase catalytic subunit";"PRKDC";3;3;"2.82918264383367E-5";3;3;"0";0;"nucleolus, nucleoplasm, cytosol, DNA-dependent protein kinase-DNA ligase 4 complex, transcription factor complex";0,000674915635545557
"346";346;"P82650";"P82650";"RT22_HUMAN";"28S ribosomal protein S22, mitochondrial";"MRPS22";3;3;"6.48825886319187E-4";3;3;"8.21556544284144E-4";0;"mitochondrial small ribosomal subunit";0,000674915635545557
"347";347;"P82912";"P82912-1,P82912-2";"RT11_HUMAN";"28S ribosomal protein S11, mitochondrial";"MRPS11";3;4;"8.02671199570129E-4";3;4;"0";0;"mitochondrial small ribosomal subunit";0,000899887514060742
"348";348;"P82933";"P82933";"RT09_HUMAN";"28S ribosomal protein S9, mitochondrial";"MRPS9";3;4;"7.86455619780833E-4";3;4;"9.95826114283811E-4";0;"mitochondrial small ribosomal subunit";0,000899887514060742
