"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5572";"Spectra.Count.P5572";"DNSAF.P5572";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc"
"238";238;"P47985";"P47985";"UCRI_HUMAN";"Cytochrome b-c1 complex subunit Rieske, mitochondrial";"UQCRFS1";7;10;"0.00284157322475556";7;10;"0.00359805785817873";0;"mitochondrial respiratory chain complex III, mitochondrial inner membrane";0,00224971878515186
"243";243;"P48735";"P48735";"IDHP_HUMAN";"Isocitrate dehydrogenase [NADP], mitochondrial";"IDH2";9;15;"0.0025838199012711";9;15;"0.00327168535334394";0;"mitochondrial matrix, mitochondrial inner membrane";0,00337457817772778
"252";252;"P49790";"P49790";"NU153_HUMAN";"Nuclear pore complex protein Nup153";"NUP153";13;14;"7.39001687468634E-4";13;14;"9.35738979252449E-4";0;"nuclear pore nuclear basket, nuclear membrane, nuclear inclusion body, nucleolus, nucleoplasm, cytoplasm, nuclear periphery";0,0031496062992126
"253";253;"P49792";"P49792";"RBP2_HUMAN";"E3 SUMO-protein ligase RanBP2";"RANBP2";2;2;"5.24996671420208E-5";2;2;"6.64761471801821E-5";2;"cytosol, nuclear inclusion body, nuclear pore nuclear basket, nuclear membrane, mitochondrion";0,000449943757030371
"266";266;"P51659";"P51659";"DHB4_HUMAN";"Peroxisomal multifunctional enzyme type 2";"HSD17B4";2;2;"2.11573658582344E-4";2;2;"2.67898873136134E-4";0;"peroxisomal membrane, mitochondrion, peroxisomal matrix";0,000449943757030371
"276";276;"P54886";"P54886-1,P54886-2";"P5CS_HUMAN";"Delta-1-pyrroline-5-carboxylate synthase";"ALDH18A1";3;3;"1.46903974260948E-4";3;3;"0";0;"mitochondrial inner membrane";0,000674915635545557
"279";279;"P55084";"P55084";"ECHB_HUMAN";"Trifunctional enzyme subunit beta, mitochondrial";"HADHB";12;22;"0.00361371379722079";12;22;"0.00457575796816485";0;"mitochondrial outer membrane, endoplasmic reticulum, mitochondrial inner membrane, mitochondrial nucleoid, mitochondrial fatty acid beta-oxidation multienzyme complex";0,00494938132733408
"288";288;"P57737";"P57737-1,P57737-2";"CORO7_HUMAN";"Coronin-7";"CORO7";6;6;"2.52516020621522E-4";6;6;"0";0;"Golgi apparatus, cytosol, cytoplasmic membrane-bounded vesicle, Golgi membrane, integral component of membrane";0,00134983127109111
"334";334;"P63241";"P63241-1,P63241-2,Q9GZV4";"IF5A1_HUMAN, IF5A2_HUMAN";"Eukaryotic translation initiation factor 5A-1, Eukaryotic translation initiation factor 5A-2";"EIF5A, EIF5A2";4;7;"0.00118224239589613";4;7;"0.00451050651763844";0;"annulate lamellae, nuclear pore, endoplasmic reticulum membrane, cytosol";0,0015748031496063
"354";354;"Q00688";"Q00688";"FKBP3_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP3";"FKBP3";7;11;"0.00382343825866664";7;11;"0.00484131535024585";0;"nucleus, membrane";0,00247469066366704
"360";360;"Q03252";"Q03252";"LMNB2_HUMAN";"Lamin-B2";"LMNB2";23;34;"0.0047426373205276";23;34;"0.00600522391292026";6;"nuclear inner membrane, intermediate filament";0,00764904386951631
"366";366;"Q07666";"Q07666-1,Q07666-2";"KHDR1_HUMAN";"KH domain-containing, RNA-binding, signal transduction-associated protein 1";"KHDRBS1";4;8;"7.03016761700248E-4";4;8;"0";0;"cytoplasm, Grb2-Sos complex, membrane, nucleus";0,00179977502812148
"372";372;"Q12931";"Q12931";"TRAP1_HUMAN";"Heat shock protein 75 kDa, mitochondrial";"TRAP1";5;6;"6.89594357785767E-4";5;6;"8.73178412708415E-4";2;"mitochondrial inner membrane, mitochondrial matrix";0,00134983127109111
"378";378;"Q13185";"Q13185";"CBX3_HUMAN";"Chromobox protein homolog 3";"CBX3";7;10;"0.00425459597586352";7;10;"0.00538725602809275";0;"nuclear inner membrane, spindle, nuclear euchromatin, nuclear centromeric heterochromatin, condensed chromosome, centromeric region";0,00224971878515186
"383";383;"Q13423";"Q13423";"NNTM_HUMAN";"NAD(P) transhydrogenase, mitochondrial";"NNT";2;2;"1.43386936203135E-4";2;2;"1.81559457300363E-4";0;"mitochondrial respiratory chain, integral component of membrane";0,000449943757030371
"387";387;"Q13596";"Q13596-1,Q13596-2";"SNX1_HUMAN";"Sorting nexin-1";"SNX1";2;3;"2.23733064247996E-4";2;3;"0";0;"cytosol, early endosome membrane, Golgi apparatus";0,000674915635545557
"397";397;"Q14980";"Q14980-1,Q14980-2,Q14980-3,Q14980-4";"NUMA1_HUMAN";"Nuclear mitotic apparatus protein 1";"NUMA1";4;5;"4.60160203063253E-5";4;5;"0";0;"spindle pole, neuronal cell body, chromosome, dendrite, cytosol, Golgi membrane, nuclear matrix, apical part of cell, nucleoplasm, spindle microtubule";0,00112485939257593
"400";400;"Q15006";"Q15006";"EMC2_HUMAN";"ER membrane protein complex subunit 2";"EMC2";1;1;"2.62151873260278E-4";1;1;"3.31942038094604E-4";0;"mitochondrion, ER membrane protein complex, nucleus";0,000224971878515186
"423";423;"Q16891";"Q16891-1,Q16891-2";"IMMT_HUMAN";"Mitochondrial inner membrane protein";"IMMT";17;22;"0.00112988149068777";17;22;"0";0;"integral component of membrane, mitochondrial inner membrane";0,00494938132733408
"425";425;"Q53QZ3";"Q53QZ3";"RHG15_HUMAN";"Rho GTPase-activating protein 15";"ARHGAP15";2;2;"3.27827816245484E-4";2;2;"4.15102253954094E-4";0;"cytosol, membrane";0,000449943757030371
"442";442;"Q8N1F7";"Q8N1F7-1";"NUP93_HUMAN";"Nuclear pore complex protein Nup93";"NUP93";2;4;"3.80264255718205E-4";2;4;"0";0;"nuclear periphery, nuclear membrane, nuclear pore";0,000899887514060742
"443";443;"Q8N6H7";"Q8N6H7";"ARFG2_HUMAN";"ADP-ribosylation factor GTPase-activating protein 2";"ARFGAP2";3;3;"4.48324988627461E-4";3;3;"5.6767822637676E-4";0;"nucleolus, Golgi apparatus, Golgi membrane";0,000674915635545557
"446";446;"Q8NF91";"Q8NF91-1,Q8NF91-4";"SYNE1_HUMAN";"Nesprin-1";"SYNE1";2;2;"8.85064298718909E-6";2;2;"0";0;"Golgi apparatus, SUN-KASH complex, integral component of membrane, nuclear membrane, postsynaptic membrane, sarcomere, cytoskeleton, nuclear outer membrane";0,000449943757030371
"461";461;"Q96DA6";"Q96DA6";"TIM14_HUMAN";"Mitochondrial import inner membrane translocase subunit TIM14";"DNAJC19";2;3;"0.00201359757823196";2;3;"0.00254965824088183";0;"mitochondrion, mitochondrial inner membrane, integral component of membrane";0,000674915635545557
"462";462;"Q96HS1";"Q96HS1-1,Q96HS1-2";"PGAM5_HUMAN";"Serine/threonine-protein phosphatase PGAM5, mitochondrial";"PGAM5";6;7;"9.42930353820272E-4";6;7;"0";0;"integral component of membrane, mitochondrial outer membrane";0,0015748031496063
"466";466;"Q99623";"Q99623";"PHB2_HUMAN";"Prohibitin-2";"PHB2";20;40;"0.0104159339609769";20;40;"0.0131888676005481";0;"protein complex, mitochondrial inner membrane, nuclear matrix";0,00899887514060742
"472";472;"Q9BRQ6";"Q9BRQ6";"CHCH6_HUMAN";"Coiled-coil-helix-coiled-coil-helix domain-containing protein 6, mitochondrial";"CHCHD6";3;3;"9.93946038616627E-4";3;3;"0.00125855470613741";0;"mitochondrial inner membrane";0,000674915635545557
"473";473;"Q9BU61";"Q9BU61-1";"NDUF3_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3";"NDUFAF3";2;2;"8.46294634329375E-4";2;2;"0";0;"nucleus, mitochondrial inner membrane";0,000449943757030371
"486";486;"Q9H9B4";"Q9H9B4";"SFXN1_HUMAN";"Sideroflexin-1";"SFXN1";4;4;"9.67193867805E-4";4;4;"0.00122468056290804";0;"mitochondrial inner membrane, integral component of membrane, mitochondrion";0,000899887514060742
"493";493;"Q9NVI7";"Q9NVI7-1,Q9NVI7-2";"ATD3A_HUMAN";"ATPase family AAA domain-containing protein 3A";"ATAD3A";9;11;"6.75433887966346E-4";9;11;"0";0;"mitochondrial nucleoid, integral component of membrane, mitochondrion, mitochondrial inner membrane";0,00247469066366704
"496";496;"Q9NZ45";"Q9NZ45";"CISD1_HUMAN";"CDGSH iron-sulfur domain-containing protein 1";"CISD1";1;1;"7.20917651465764E-4";1;1;"9.1284060476016E-4";0;"mitochondrion, integral component of membrane, mitochondrial outer membrane";0,000224971878515186
"498";498;"Q9P289";"Q9P289-1,Q9P289-2,Q9P289-3";"MST4_HUMAN";"Serine/threonine-protein kinase MST4";"MST4";2;2;"1.24774208907536E-4";2;2;"0";0;"Golgi membrane, cytosol";0,000449943757030371
"499";499;"Q9P2E9";"Q9P2E9-1,Q9P2E9-2,Q9P2E9-3";"RRBP1_HUMAN";"Ribosome-binding protein 1";"RRBP1";1;1;"1.84064081225301E-5";1;1;"0";0;"ribosome, integral component of endoplasmic reticulum membrane, endoplasmic reticulum";0,000224971878515186
"509";509;"Q9UKX7";"Q9UKX7-1,Q9UKX7-2";"NUP50_HUMAN";"Nuclear pore complex protein Nup50";"NUP50";3;3;"2.49548417815072E-4";3;3;"0";0;"nuclear membrane, nucleoplasm, nuclear pore";0,000674915635545557
"515";515;"Q9UQE7";"Q9UQE7";"SMC3_HUMAN";"Structural maintenance of chromosomes protein 3";"SMC3";3;3;"1.91928774917755E-4";3;3;"2.43024121563099E-4";0;"nuclear matrix, nuclear meiotic cohesin complex, cytosol, chromatin, chromosome, centromeric region, nucleoplasm, spindle pole, lateral element, meiotic cohesin complex, basement membrane";0,000674915635545557
"525";525;"Q9Y3D9";"Q9Y3D9";"RT23_HUMAN";"28S ribosomal protein S23, mitochondrial";"MRPS23";3;6;"0.00245870862184113";3;6;"0.0031132669046557";0;"intermediate filament cytoskeleton, mitochondrion, ribosome, nuclear membrane";0,00134983127109111
"530";530;"Q9Y5L4";"Q9Y5L4";"TIM13_HUMAN";"Mitochondrial import inner membrane translocase subunit Tim13";"TIMM13";1;1;"8.1956954061371E-4";1;1;"0.00103775563488523";0;"mitochondrial inner membrane, mitochondrial intermembrane space protein transporter complex";0,000224971878515186
