"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5572";"Spectra.Count.P5572";"DNSAF.P5572";"Unspecific.Spectra.Count";"Go.Cc"
"55";55;"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";10;18;"0.00418347437149088";10;18;"0.00529720040493657";0;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane"
"56";56;"P04439";"P04439,P13746-1,P13746-2,P16188";"1A03_HUMAN, 1A11_HUMAN, 1A30_HUMAN";"HLA class I histocompatibility antigen, A-11 alpha chain, HLA class I histocompatibility antigen, A-3 alpha chain, HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";0;0;"0";0;0;"0";8;"MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, early endosome membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane, Golgi membrane"
"57";57;"P04792";"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";7;9;"0.00341820466938889";7;9;"0.00432820033086281";0;"spindle, Z disc, extracellular vesicular exosome, cytoskeleton, proteasome complex, cytosol, nucleus, plasma membrane, extracellular space"
"61";61;"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";9;14;"0.00365781036582629";9;14;"0.00463159394093075";0;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane"
"67";67;"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";20;50;"0.00735908377677717";20;50;"0.00931822167430031";0;"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane"
"69";69;"P06733";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";15;27;"0.00484376928957181";15;27;"0";0;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space"
"70";70;"P06744";"P06744-1,P06744-2";"G6PI_HUMAN";"Glucose-6-phosphate isomerase";"GPI";3;3;"2.09298673006189E-4";3;3;"0";0;"neuron projection, cytosol, nucleus, extracellular space, extracellular vesicular exosome, plasma membrane"
"74";74;"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";4;4;"6.13063829592933E-4";4;4;"7.76273900111002E-4";0;"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome"
"75";75;"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";5;11;"0.00925637281431894";5;11;"0.0117206076734683";57;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen"
"78";78;"P07900";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";11;14;"0.00113595838550508";11;14;"0";24;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane"
"83";83;"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";13;31;"0.00565924803499185";13;31;"0.00716585505743445";31;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body"
"86";86;"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";2;3;"7.91787522287822E-4";2;3;"0.00100257747777048";0;"cytosolic small ribosomal subunit, 90S preribosome, nucleus, plasma membrane, extracellular vesicular exosome"
"92";92;"P0CG47";"P0CG47,P0CG48,P62979,P62987";"RL40_HUMAN, RS27A_HUMAN, UBB_HUMAN, UBC_HUMAN";"Polyubiquitin-B, Polyubiquitin-C, Ubiquitin-40S ribosomal protein S27a, Ubiquitin-60S ribosomal protein L40";"RPS27A, UBA52, UBB, UBC";5;10;"6.49909068099353E-4";5;10;"8.22928091102649E-4";0;"cytosol, nucleoplasm, endocytic vesicle membrane, endosome membrane, plasma membrane"
"93";93;"P10319";"P10319,P18465";"1B57_HUMAN, 1B58_HUMAN";"HLA class I histocompatibility antigen, B-57 alpha chain, HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";1;1;"2.72435178785957E-4";1;1;"3.4496296887069E-4";4;"phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, cell surface"
"95";95;"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";27;51;"0.00692986810518923";27;51;"0.00877474005413431";0;"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol"
"96";96;"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";26;53;"0.00658420514787931";26;53;"0.0083370545815253";6;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus"
"97";97;"P11142";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";25;77;"0.0108801712605685";25;77;"0";18;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle"
"104";104;"P12814";"P12814-1,P12814-2,P12814-3";"ACTN1_HUMAN";"Alpha-actinin-1";"ACTN1";1;1;"3.55609603862036E-5";1;1;"0";2;"fascia adherens, ruffle, pseudopodium, Z disc, plasma membrane, extracellular vesicular exosome, focal adhesion, cytosol, nucleus, cytoskeleton, platelet alpha granule lumen, dendritic spine"
"108";108;"P13667";"P13667";"PDIA4_HUMAN";"Protein disulfide-isomerase A4";"PDIA4";1;1;"1.2071179280357E-4";1;1;"1.52847729169143E-4";0;"melanosome, endoplasmic reticulum lumen, cell surface"
"109";109;"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";6;10;"0.00124177203123289";6;10;"0.00157235702255339";0;"extracellular vesicular exosome, actin filament, actin filament bundle, ruffle membrane, phagocytic cup, plasma membrane, filopodium, focal adhesion, cytosol, ruffle, extracellular space"
"111";111;"P13861";"P13861";"KAP2_HUMAN";"cAMP-dependent protein kinase type II-alpha regulatory subunit";"PRKAR2A";3;4;"7.70882241171312E-4";3;4;"9.76106785288092E-4";0;"extracellular vesicular exosome, plasma membrane, cAMP-dependent protein kinase complex, centrosome, AMP-activated protein kinase complex, cytosol"
"113";113;"P14618";"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";22;45;"0.00731542819505053";22;45;"0";5;"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium"
"114";114;"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";20;33;"0.0033496747384458";20;33;"0.00424142633735735";3;"cytosol, melanosome, midbody, extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endocytic vesicle lumen, endoplasmic reticulum lumen, plasma membrane"
"118";118;"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";6;8;"0.00133570849048645";6;8;"0.00169130127936233";29;"cortical cytoskeleton, astrocyte projection, Schwann cell microvillus, nucleolus, cytosol, actin filament, uropod, microvillus, T-tubule, cell body, microspike, extracellular vesicular exosome, extrinsic component of membrane, ruffle membrane, ruffle, filopodium, microvillus membrane, apical plasma membrane, membrane raft, basolateral plasma membrane, cell tip, apical part of cell"
"126";126;"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";8;11;"0.0015403780034916";8;11;"0.00195045798283286";0;"cell body, plasma membrane, Golgi apparatus, chaperonin-containing T-complex, extracellular vesicular exosome, nuclear heterochromatin, nucleus, microtubule, zona pellucida receptor complex, cytosol, cell junction, centrosome, acrosomal vesicle, pericentriolar material"
"135";135;"P21281";"P21281";"VATB2_HUMAN";"V-type proton ATPase subunit B, brain isoform";"ATP6V1B2";1;1;"1.52366157256952E-4";1;1;"1.92929129773185E-4";0;"integral component of membrane, microvillus, cytosol, lysosomal membrane, melanosome, extracellular vesicular exosome, plasma membrane, proton-transporting V-type ATPase, V1 domain, Golgi apparatus"
"136";136;"P21333";"P21333-1,P21333-2";"FLNA_HUMAN";"Filamin-A";"FLNA";11;15;"2.20605703697495E-4";11;15;"0";0;"cytosol, plasma membrane, dendritic shaft, nucleus, cortical cytoskeleton, actin filament, perinuclear region of cytoplasm, apical dendrite, extracellular vesicular exosome, trans-Golgi network, Myb complex, actin cytoskeleton, neuronal cell body"
"137";137;"P21796";"P21796";"VDAC1_HUMAN";"Voltage-dependent anion-selective channel protein 1";"VDAC1";11;17;"0.00545655692381507";11;17;"0.0069092034466299";3;"mitochondrial outer membrane, mitochondrial inner membrane, pore complex, extracellular vesicular exosome, mitochondrial nucleoid, plasma membrane"
"158";158;"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";33;78;"0.0109819354357099";33;78;"0.0139055501889685";0;"mitochondrial matrix, plasma membrane, mitochondrial proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, catalytic core F(1), extracellular vesicular exosome"
"161";161;"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";38;105;"0.0178046237910813";38;105;"0.0225445770622106";29;"apical plasma membrane, apical part of cell, basolateral plasma membrane, filopodium, microvillus membrane, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleolus, uropod, extrinsic component of membrane, plasma membrane, microvillus, blood microparticle"
"165";165;"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";4;4;"7.46849941086834E-4";4;4;"9.45676597737144E-4";0;"endocytic vesicle lumen, acrosomal vesicle, nucleus, cytosol, extracellular space, endoplasmic reticulum lumen, perinuclear region of cytoplasm, Golgi apparatus, external side of plasma membrane, sarcoplasmic reticulum lumen, proteinaceous extracellular matrix, polysome, MHC class I peptide loading complex, extracellular vesicular exosome, cell surface, integral component of lumenal side of endoplasmic reticulum membrane"
"166";166;"P27816";"P27816-1,P27816-6";"MAP4_HUMAN";"Microtubule-associated protein 4";"MAP4";11;15;"5.06895223686865E-4";11;15;"0";0;"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane"
"174";174;"P30040";"P30040";"ERP29_HUMAN";"Endoplasmic reticulum resident protein 29";"ERP29";4;7;"0.00208817526631463";4;7;"0.00264409002758115";0;"melanosome, cell surface, endoplasmic reticulum lumen, endoplasmic reticulum"
"179";179;"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";17;24;"0.0037002347576223";17;24;"0.00468531256938284";0;"endoplasmic reticulum lumen, cell surface, melanosome, extracellular vesicular exosome"
"199";199;"P35232";"P35232";"PHB_HUMAN";"Prohibitin";"PHB";14;30;"0.00858740143657748";14;30;"0.0108735424978784";0;"mitochondrial inner membrane, extracellular vesicular exosome, integral component of plasma membrane, nucleoplasm"
"204";204;"P36507";"P36507";"MP2K2_HUMAN";"Dual specificity mitogen-activated protein kinase kinase 2";"MAP2K2";1;1;"3.89295531791512E-4";1;1;"4.92933926570487E-4";2;"endoplasmic reticulum, early endosome, cytosol, late endosome, focal adhesion, Golgi apparatus, cell cortex, microtubule, extracellular region, mitochondrion, nucleus, cytoplasmic side of plasma membrane, perinuclear region of cytoplasm, cell-cell junction, peroxisomal membrane"
"206";206;"P36543";"P36543-1,P36543-2";"VATE1_HUMAN";"V-type proton ATPase subunit E 1";"ATP6V1E1";2;2;"3.4450932016948E-4";2;2;"0";0;"proton-transporting two-sector ATPase complex, proton-transporting two-sector ATPase complex, catalytic domain, extracellular vesicular exosome, microvillus, mitochondrion, apical plasma membrane, endosome, lysosomal membrane, cytosol"
"212";212;"P38606";"P38606";"VATA_HUMAN";"V-type proton ATPase catalytic subunit A";"ATP6V1A";1;2;"2.5237959921654E-4";1;2;"3.19568185783135E-4";0;"proton-transporting two-sector ATPase complex, proton-transporting V-type ATPase, V1 domain, microvillus, mitochondrion, lysosomal membrane, cytosol, apical plasma membrane, integral component of plasma membrane, extracellular vesicular exosome"
"219";219;"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";11;19;"0.00437669532783357";11;19;"0.00554186071292263";0;"plasma membrane, mitochondrial matrix, nucleus, mitochondrial inner membrane, extracellular vesicular exosome"
"239";239;"P48047";"P48047";"ATPO_HUMAN";"ATP synthase subunit O, mitochondrial";"ATP5O";9;19;"0.00694517850144482";9;19;"0.00879412638952042";0;"plasma membrane, mitochondrial proton-transporting ATP synthase complex"
"240";240;"P48059";"P48059-1,P48059-2,P48059-3,P48059-4,P48059-5";"LIMS1_HUMAN";"LIM and senescent cell antigen-like-containing domain protein 1";"LIMS1";1;1;"4.79132962204938E-5";1;1;"0";0;"perinuclear region of cytoplasm, protein complex, focal adhesion, plasma membrane, cytosol"
"244";244;"P49006";"P49006";"MRP_HUMAN";"MARCKS-related protein";"MARCKSL1";4;6;"0.00239566481102469";4;6;"0.00303343954812607";0;"cytoplasm, extracellular vesicular exosome, plasma membrane"
"246";246;"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";23;34;"0.00105424516773488";23;34;"0.00133490669083206";0;"mitochondrion, plasma membrane, Golgi apparatus, glycogen granule, cytosol, extracellular vesicular exosome, melanosome"
"247";247;"P49368";"P49368-1";"TCPG_HUMAN";"T-complex protein 1 subunit gamma";"CCT3";8;13;"0.00185718969295033";8;13;"0";0;"cytosol, chaperonin-containing T-complex, cell body, microtubule, plasma membrane, extracellular vesicular exosome, zona pellucida receptor complex"
"258";258;"P50552";"P50552";"VASP_HUMAN";"Vasodilator-stimulated phosphoprotein";"VASP";10;15;"0.00307338577730141";10;15;"0.00389158363081963";0;"tight junction, actin cytoskeleton, plasma membrane, extracellular vesicular exosome, lamellipodium membrane, filopodium membrane, cytosol, focal adhesion"
"264";264;"P51572";"P51572-1,P51572-2";"BAP31_HUMAN";"B-cell receptor-associated protein 31";"BCAP31";2;2;"3.16500432350823E-4";2;2;"0";0;"Golgi membrane, integral component of plasma membrane, lipid particle, endoplasmic reticulum-Golgi intermediate compartment membrane, integral component of lumenal side of endoplasmic reticulum membrane, cytosol"
"268";268;"P52272";"P52272-1,P52272-2";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";36;68;"0.00362631454271546";36;68;"0";0;"catalytic step 2 spliceosome, nuclear matrix, integral component of plasma membrane, paraspeckles"
"274";274;"P54105";"P54105";"ICLN_HUMAN";"Methylosome subunit pICln";"CLNS1A";1;1;"3.28519436110981E-4";1;1;"4.15977997105896E-4";0;"pICln-Sm protein complex, methylosome, nucleus, plasma membrane, cytoskeleton, cytosol"
"295";295;"P61006";"P61006";"RAB8A_HUMAN";"Ras-related protein Rab-8A";"RAB8A";2;2;"7.52261897181666E-4";2;2;"9.52529326706254E-4";0;"neuronal cell body, extracellular vesicular exosome, Golgi membrane, dendrite, phagocytic vesicle, postsynaptic density, phagocytic vesicle membrane, recycling endosome membrane, nonmotile primary cilium, cytoplasmic vesicle membrane, plasma membrane"
"301";301;"P61769";"P61769";"B2MG_HUMAN";"Beta-2-microglobulin";"B2M";2;4;"0.00261711281876647";2;4;"0.00331384152316293";0;"endoplasmic reticulum lumen, plasma membrane, ER to Golgi transport vesicle membrane, phagocytic vesicle membrane, early endosome lumen, MHC class I protein complex, external side of plasma membrane, Golgi membrane, early endosome membrane, extracellular space, extracellular vesicular exosome"
"318";318;"P62333";"P62333";"PRS10_HUMAN";"26S protease regulatory subunit 10B";"PSMC6";1;1;"2.00151944365816E-4";1;1;"2.53436466103078E-4";0;"plasma membrane, cytosolic proteasome complex, extracellular vesicular exosome, cytosol, inclusion body, proteasome accessory complex, nucleoplasm"
"319";319;"P62491";"P62491,Q15907";"RB11A_HUMAN, RB11B_HUMAN";"Ras-related protein Rab-11A, Ras-related protein Rab-11B";"RAB11A, RAB11B";4;6;"0.0010763931754604";4;6;"0.00136295094904282";0;"extracellular vesicular exosome, cytoplasmic vesicle membrane, protein complex, plasma membrane, cleavage furrow, perinuclear region of cytoplasm, mitochondrion, trans-Golgi network, transport vesicle, phagocytic vesicle, axon, recycling endosome membrane, phagocytic vesicle membrane, recycling endosome"
"337";337;"P68104";"P68104";"EF1A1_HUMAN";"Elongation factor 1-alpha 1";"EEF1A1";20;54;"0.0091004150288925";20;54;"0.0115231307509984";0;"extracellular space, eukaryotic translation elongation factor 1 complex, nucleus, cytosol, plasma membrane, extracellular vesicular exosome"
"340";340;"P68371";"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";1;2;"0.00207684100471354";1;2;"0.00262973835482989";58;"cytosol, extracellular vesicular exosome, nucleus, microtubule, plasma membrane"
"353";353;"Q00341";"Q00341";"VIGLN_HUMAN";"Vigilin";"HDLBP";4;4;"2.45612322896853E-4";4;4;"3.10999322757405E-4";0;"plasma membrane, high-density lipoprotein particle, nucleus, cytoplasm"
"355";355;"Q00839";"Q00839-1,Q00839-2";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";10;17;"8.0218473217645E-4";10;17;"0";0;"cell surface, catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm"
"357";357;"Q01518";"Q01518-1,Q01518-2";"CAP1_HUMAN";"Adenylyl cyclase-associated protein 1";"CAP1";13;16;"0.00131131126498194";13;16;"0";0;"cortical actin cytoskeleton, plasma membrane, extracellular vesicular exosome"
"358";358;"Q02750";"Q02750-1,Q02750-2";"MP2K1_HUMAN";"Dual specificity mitogen-activated protein kinase kinase 1";"MAP2K1";1;1;"1.98114774448607E-4";1;1;"0";2;"cell cortex, cytosol, spindle pole body, perinuclear region of cytoplasm, early endosome, focal adhesion, late endosome, Golgi apparatus, nucleus, plasma membrane, perikaryon, dendrite cytoplasm, mitochondrion"
"369";369;"Q12904";"Q12904-1,Q12904-2";"AIMP1_HUMAN";"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1";"AIMP1";3;3;"3.74322626722608E-4";3;3;"0";0;"transport vesicle, cell surface, aminoacyl-tRNA synthetase multienzyme complex, nucleus, Golgi apparatus, cytosol, endoplasmic reticulum, extracellular space"
"380";380;"Q13283";"Q13283";"G3BP1_HUMAN";"Ras GTPase-activating protein-binding protein 1";"G3BP1";6;9;"0.00164041815971453";6;9;"0.00207713086498683";1;"cytoplasm, plasma membrane, cytosol, cytoplasmic stress granule, nucleus"
"384";384;"Q13509";"Q13509";"TBB3_HUMAN";"Tubulin beta-3 chain";"TUBB3";0;0;"0";0;0;"0";39;"microtubule, axon, cytoplasm, plasma membrane"
"389";389;"Q13885";"Q13885,Q9BVA1";"TBB2A_HUMAN, TBB2B_HUMAN";"Tubulin beta-2A chain, Tubulin beta-2B chain";"TUBB2A, TUBB2B";0;0;"0";0;0;"0";49;"microtubule, extracellular vesicular exosome, cytoplasm, plasma membrane"
"392";392;"Q14444";"Q14444-1,Q14444-2";"CAPR1_HUMAN";"Caprin-1";"CAPRIN1";3;6;"3.29446148201562E-4";3;6;"0";0;"cytosol, cytoplasmic mRNA processing body, dendrite, cytoplasmic stress granule, integral component of plasma membrane"
"394";394;"Q14696";"Q14696";"MESD_HUMAN";"LDLR chaperone MESD";"MESDC2";3;3;"9.98193671260288E-4";3;3;"0.00126393314505253";0;"plasma membrane, endoplasmic reticulum"
"401";401;"Q15019";"Q15019-1,Q15019-2";"SEPT2_HUMAN";"Septin-2";"SEPT2";6;10;"0.00107838097449172";6;10;"0";0;"septin complex, ciliary membrane, cell surface, midbody, exocyst, cytoplasm, spindle, condensed chromosome kinetochore, extracellular vesicular exosome, synapse, nucleolus, actin cytoskeleton, cleavage furrow, perinuclear region of cytoplasm"
"404";404;"Q15084";"Q15084-1,Q15084-2";"PDIA6_HUMAN";"Protein disulfide-isomerase A6";"PDIA6";7;10;"8.84762572253437E-4";7;10;"0";0;"melanosome, extracellular vesicular exosome, endoplasmic reticulum lumen, endoplasmic reticulum membrane, plasma membrane, endoplasmic reticulum-Golgi intermediate compartment"
"416";416;"Q15942";"Q15942";"ZYX_HUMAN";"Zyxin";"ZYX";3;4;"5.44469275232884E-4";3;4;"6.89418079119562E-4";0;"focal adhesion, nucleus, cytoplasm, integral component of plasma membrane, stress fiber, cell-cell adherens junction"
"417";417;"Q16181";"Q16181-1,Q16181-2";"SEPT7_HUMAN";"Septin-7";"SEPT7";1;1;"1.33625468578322E-4";1;1;"0";2;"stress fiber, septin complex, extracellular vesicular exosome, synapse, axoneme, microtubule cytoskeleton, cleavage furrow, condensed chromosome kinetochore, nucleolus, midbody, spindle, plasma membrane, axon terminus"
"433";433;"Q7Z2W4";"Q7Z2W4-1,Q7Z2W4-2,Q7Z2W4-3";"ZCCHV_HUMAN";"Zinc finger CCCH-type antiviral protein 1";"ZC3HAV1";2;2;"5.75455331546951E-5";2;2;"0";0;"nucleus, plasma membrane, Golgi apparatus, cytoplasm"
"445";445;"Q8NC51";"Q8NC51-1";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";14;23;"0.00438911628980627";14;23;"0";0;"nucleus, extracellular vesicular exosome, cytoplasm, perinuclear region of cytoplasm, plasma membrane"
"458";458;"Q95604";"Q95604";"1C17_HUMAN";"HLA class I histocompatibility antigen, Cw-17 alpha chain";"HLA-C";1;1;"4.46503835746537E-4";1;1;"5.65372245528873E-4";6;"MHC class I protein complex, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, cell surface"
"467";467;"Q99653";"Q99653";"CHP1_HUMAN";"Calcineurin B homologous protein 1";"CHP1";4;7;"0.00279494227952881";4;7;"0.00353901280614708";0;"endoplasmic reticulum-Golgi intermediate compartment, transport vesicle, plasma membrane, endoplasmic reticulum, cytosol, microtubule cytoskeleton, Golgi membrane, nucleus, extracellular vesicular exosome"
"468";468;"Q99714";"Q99714-1";"HCD2_HUMAN";"3-hydroxyacyl-CoA dehydrogenase type-2";"HSD17B10";7;10;"0.00298310752330661";7;10;"0";0;"endoplasmic reticulum, mitochondrial inner membrane, mitochondrial matrix, plasma membrane"
"474";474;"Q9BUF5";"Q9BUF5";"TBB6_HUMAN";"Tubulin beta-6 chain";"TUBB6";2;3;"0.0010765272553278";2;3;"0.00136312072370015";19;"plasma membrane, extracellular vesicular exosome, cytoplasm, microtubule"
"481";481;"Q9H2G2";"Q9H2G2-1,Q9H2G2-2";"SLK_HUMAN";"STE20-like serine/threonine-protein kinase";"SLK";2;2;"6.30438108164392E-5";2;2;"0";0;"extracellular vesicular exosome, plasma membrane, cytoplasm"
"485";485;"Q9H910";"Q9H910-1,Q9H910-2";"HN1L_HUMAN";"Hematological and neurological expressed 1-like protein";"HN1L";2;2;"4.09784770306855E-4";2;2;"0";0;"plasma membrane, cytoplasm, nucleus"
"488";488;"Q9HBL7";"Q9HBL7";"PLRKT_HUMAN";"Plasminogen receptor (KT)";"PLGRKT";2;2;"0.00105930756950071";2;2;"0.00134131680699452";0;"integral component of plasma membrane, mitochondrion"
"506";506;"Q9UJU6";"Q9UJU6-1,Q9UJU6-2,Q9UJU6-3";"DBNL_HUMAN";"Drebrin-like protein";"DBNL";3;4;"2.41423585607139E-4";3;4;"0";0;"plasma membrane, Golgi membrane, lamellipodium, postsynaptic density, cell cortex, ruffle, extracellular vesicular exosome, podosome, cytosol, dendrite, cell junction, clathrin-coated vesicle membrane"
"507";507;"Q9UJZ1";"Q9UJZ1";"STML2_HUMAN";"Stomatin-like protein 2";"STOML2";7;10;"0.00218705354939052";7;10;"0.0027692917223061";0;"mitochondrial intermembrane space, cytoskeleton, extrinsic component of plasma membrane, mitochondrial inner membrane, membrane raft"
