"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc";"norm.sc"
"104";104;"O43402";"O43402";"O43402";"EMC8_HUMAN";"ER membrane protein complex subunit 8";"EMC8";2;4;0,000166820202399307;NA;NA;2;2;NA;NA;2;2;NA;NA;0,000419358879535676;0,00041897462633168;"nucleus, cytoplasm, ER membrane protein complex, mitochondrion";9,25797342961626e-05
"112";112;"O43615";"O43615";"O43615";"TIM44_HUMAN";"Mitochondrial import inner membrane translocase subunit TIM44";"TIMM44";9;23;0,000445653527427353;4;5;6;5;4;6;7;6;0,000423002741740684;0,000640916311655815;0,000681922071811331;0,000583969058825129;"mitochondrial inner membrane, mitochondrial matrix, mitochondrion";0,000532333472202935
"115";115;"O43676";"O43676";"O43676";"NDUB3_HUMAN";"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3";"NDUFB3";2;2;0,000178735931142115;NA;2;NA;NA;NA;2;NA;NA;NA;0,00098535432948445;NA;NA;"mitochondrial inner membrane, mitochondrial respiratory chain complex I, integral component of membrane";4,62898671480813e-05
"116";116;"O43678";"O43678";"O43678";"NDUA2_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2";"NDUFA2";2;2;0,000176930517696235;2;NA;NA;NA;2;NA;NA;NA;0,000965642622559542;NA;NA;NA;"mitochondrial respiratory chain complex I, mitochondrial inner membrane, mitochondrial membrane";4,62898671480813e-05
"121";121;"O43747";"O43747-1,O43747-2";"O43747-1,O43747-2";"AP1G1_HUMAN";"AP-1 complex subunit gamma-1";"AP1G1";4;10;5,32728748537934e-05;4;2;2;2;4;2;2;2;NA;NA;NA;NA;"AP-type membrane coat adaptor complex, lysosomal membrane, trans-Golgi network membrane, clathrin-coated vesicle, clathrin adaptor complex, cytoplasm, clathrin-coated vesicle membrane, intracellular membrane-bounded organelle, Golgi membrane, cytosol, Golgi apparatus, recycling endosome, cytoplasmic vesicle membrane, perinuclear region of cytoplasm";0,000231449335740406
"133";133;"O43920";"O43920";"O43920";"NDUS5_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5";"NDUFS5";2;6;0,000495739280714922;1;1;2;2;1;1;2;2;0,000450936885063182;0,000455493982497529;0,000830805327381999;0,00083004407103446;"mitochondrial inner membrane, mitochondrion, mitochondrial respiratory chain complex I, mitochondrial intermembrane space";0,000138869601444244
"138";138;"O60313";"O60313-1,O60313-2";"O60313-1,O60313-2";"OPA1_HUMAN";"Dynamin-like 120 kDa protein, mitochondrial";"OPA1";6;10;4,56148990935606e-05;2;3;1;4;2;3;1;4;NA;NA;NA;NA;"mitochondrial intermembrane space, integral component of membrane, mitochondrial inner membrane, mitochondrial outer membrane, mitochondrion, dendrite, mitochondrial crista";0,000231449335740406
"139";139;"O60343";"O60343-1,O60343-2,O60343-3";"O60343-1,O60343-2,O60343-3";"TBCD4_HUMAN";"TBC1 domain family member 4";"TBC1D4";2;2;4,49823350075174e-06;NA;1;NA;1;NA;1;NA;1;NA;NA;NA;NA;"cytoplasmic vesicle membrane, cytoplasm";4,62898671480813e-05
"145";145;"O60610";"O60610-1,O60610-2,O60610-3";"O60610-1,O60610-2,O60610-3";"DIAP1_HUMAN";"Protein diaphanous homolog 1";"DIAPH1";29;89;0,000204262944368649;15;19;19;21;17;25;23;24;NA;NA;NA;NA;"cytoplasm, mitotic spindle, ruffle membrane, neuron projection";0,00205989908808962
"146";146;"O60664";"O60664-1";"O60664-1";"PLIN3_HUMAN";"Perilipin-3";"PLIN3";10;30;0,000605395895803938;8;6;6;8;9;7;6;8;NA;NA;NA;NA;"cytoplasm, intracellular membrane-bounded organelle, Golgi apparatus, lipid particle, endosome, endosome membrane";0,000694348007221219
"148";148;"O60749";"O60749";"O60749";"SNX2_HUMAN";"Sorting nexin-2";"SNX2";5;9;0,000175853970585214;1;NA;4;3;1;NA;4;4;0,000110518635414329;NA;0,000387846362576348;0,0004068655330851;"endosome membrane, cytoplasm, retromer complex, early endosome membrane, intracellular membrane-bounded organelle";0,000208304402166366
"149";149;"O60762";"O60762";"O60762";"DPM1_HUMAN";"Dolichol-phosphate mannosyltransferase";"DPM1";1;1;3,36848485613986e-05;1;NA;NA;NA;1;NA;NA;NA;0,00018384349929499;NA;NA;NA;"endoplasmic reticulum membrane, dolichol-phosphate-mannose synthase complex, endoplasmic reticulum, membrane";2,31449335740406e-05
"150";150;"O60763";"O60763-1,O60763-2";"O60763-1,O60763-2";"USO1_HUMAN";"General vesicular transport factor p115";"USO1";8;15;6,82800984352674e-05;3;3;5;4;3;3;5;4;NA;NA;NA;NA;"Golgi apparatus, Golgi stack, ER to Golgi transport vesicle membrane, cytosol, nucleolus, endoplasmic reticulum, Golgi membrane";0,00034717400361061
"159";159;"O75027";"O75027-1,O75027-2";"O75027-1,O75027-2";"ABCB7_HUMAN";"ATP-binding cassette sub-family B member 7, mitochondrial";"ABCB7";2;3;1,74695358230657e-05;NA;2;NA;1;NA;2;NA;1;NA;NA;NA;NA;"integral component of membrane, mitochondrial inner membrane, mitochondrion";6,94348007221219e-05
"165";165;"O75306";"O75306";"O75306";"NDUS2_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial";"NDUFS2";6;17;0,000321570260564539;2;4;4;4;3;4;5;5;0,000309714750432164;0,00041712623883143;0,0004755149281992;0,000475079219922531;"mitochondrial inner membrane, nucleus, mitochondrial respiratory chain complex I, mitochondrion";0,000393463870758691
"171";171;"O75352";"O75352";"O75352";"MPU1_HUMAN";"Mannose-P-dolichol utilization defect 1 protein";"MPDU1";1;1;3,5457735327788e-05;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000178269969033384;NA;"mitochondrion, endoplasmic reticulum membrane, integral component of membrane, endoplasmic reticulum";2,31449335740406e-05
"174";174;"O75381";"O75381-1,O75381-2";"O75381-1,O75381-2";"PEX14_HUMAN";"Peroxisomal membrane protein PEX14";"PEX14";1;4;4,64618600846877e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"intracellular, protein complex, intracellular membrane-bounded organelle, nucleolus, integral component of membrane, peroxisomal membrane, peroxisome, nucleus";9,25797342961626e-05
"176";176;"O75396";"O75396";"O75396";"SC22B_HUMAN";"Vesicle-trafficking protein SEC22b";"SEC22B";4;11;0,000448086822723721;4;2;3;2;4;2;3;2;0,00088928948496181;0,000449138252509191;0,000614409521180176;0,000409231030370478;"melanosome, endoplasmic reticulum membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, endoplasmic reticulum-Golgi intermediate compartment, Golgi apparatus, integral component of membrane";0,000254594269314447
"178";178;"O75431";"O75431";"O75431";"MTX2_HUMAN";"Metaxin-2";"MTX2";3;5;0,000166503053725544;NA;3;1;NA;NA;3;2;NA;NA;0,00055074937807686;0,000334849295446737;NA;"mitochondrial outer membrane";0,000115724667870203
"179";179;"O75436";"O75436";"O75436";"VP26A_HUMAN";"Vacuolar protein sorting-associated protein 26A";"VPS26A";8;21;0,000562444260382985;6;6;4;3;6;6;5;4;0,000877051556269676;0,000885914901738313;0,000673282604759112;0,000538132547581974;"vesicle, retromer complex, cytosol, endosome membrane, intracellular membrane-bounded organelle, endosome";0,000486043605054854
"180";180;"O75439";"O75439";"O75439";"MPPB_HUMAN";"Mitochondrial-processing peptidase subunit beta";"PMPCB";4;8;0,000143281155434988;1;2;2;3;1;2;2;3;9,77490998296469e-05;0,00019747387380261;0,000180092770352744;0,000269891630459058;"mitochondrial matrix, mitochondrial inner membrane";0,000185159468592325
"182";182;"O75477";"O75477";"O75477";"ERLN1_HUMAN";"Erlin-1";"ERLIN1";1;2;7,08744790540409e-05;1;0;1;0;1;0;1;0;0,000184197725690548;0;0,000159077609650455;0;"endoplasmic reticulum membrane, protein complex, integral component of membrane, endoplasmic reticulum";4,62898671480813e-05
"183";183;"O75489";"O75489";"O75489";"NDUS3_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial";"NDUFS3";9;30;0,000995234162041321;5;6;6;7;5;6;9;10;0,00090528995864957;0,00109732641238041;0,0015011141710652;0,00166637635472827;"mitochondrial inner membrane, mitochondrial respiratory chain complex I, mitochondrial membrane, mitochondrion, nucleus";0,000694348007221219
"185";185;"O75521";"O75521-1,O75521-2";"O75521-1,O75521-2";"ECI2_HUMAN";"Enoyl-CoA delta isomerase 2, mitochondrial";"ECI2";3;4;4,44571605378864e-05;1;NA;2;NA;1;NA;3;NA;NA;NA;NA;NA;"peroxisomal matrix, nucleus, mitochondrion, intracellular membrane-bounded organelle";9,25797342961626e-05
"187";187;"O75533";"O75533";"O75533";"SF3B1_HUMAN";"Splicing factor 3B subunit 1";"SF3B1";24;67;0,000449992378788009;15;16;15;14;17;18;17;15;0,000623150511413999;0,000666474324083807;0,000574045705499372;0,000506046807110733;"intracellular membrane-bounded organelle, nuclear speck, spliceosomal complex, nucleus, nucleoplasm, catalytic step 2 spliceosome, U12-type spliceosomal complex";0,00155071054946072
"193";193;"O75663";"O75663-1";"O75663-1";"TIPRL_HUMAN";"TIP41-like protein";"TIPRL";6;16;0,00051518003682139;4;3;5;4;4;3;5;4;NA;NA;NA;NA;"intracellular membrane-bounded organelle, cytoplasm";0,00037031893718465
"202";202;"O75915";"O75915";"O75915";"PRAF3_HUMAN";"PRA1 family protein 3";"ARL6IP5";3;7;0,000326098002030561;2;2;2;NA;3;2;2;NA;0,000762754943883468;0,000513642150475937;0,000468432790970702;NA;"endoplasmic reticulum membrane, integral component of membrane, endoplasmic reticulum";0,000162014535018284
"206";206;"O75947";"O75947-1";"O75947-1";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";9;33;0,00179513043886211;8;7;7;7;11;7;7;8;NA;NA;NA;NA;"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o), mitochondrial proton-transporting ATP synthase complex, mitochondrion, mitochondrial inner membrane";0,000763782807943341
"207";207;"O75964";"O75964";"O75964";"ATP5L_HUMAN";"ATP synthase subunit g, mitochondrial";"ATP5L";4;13;0,00110538629259735;2;2;3;3;4;3;3;3;0,00185628387637659;0,00140628239256519;0,00128250531120134;0,00128133016790756;"mitochondrion, mitochondrial proton-transporting ATP synthase complex, mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";0,000300884136462528
"211";211;"O76031";"O76031";"O76031";"CLPX_HUMAN";"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial";"CLPX";1;1;1,38357987771937e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;6,94981607659185e-05;"mitochondrial nucleoid, mitochondrial inner membrane, mitochondrial endopeptidase Clp complex, mitochondrion";2,31449335740406e-05
"218";218;"O94826";"O94826";"O94826";"TOM70_HUMAN";"Mitochondrial import receptor subunit TOM70";"TOMM70A";9;26;0,00037452232939976;5;7;3;6;7;8;4;7;0,000550321001179081;0,000635294238746553;0,00028968869967925;0,000506490707818725;"integral component of membrane, mitochondrial outer membrane translocase complex, mitochondrion";0,000601768272925057
"220";220;"O94905";"O94905-1";"O94905-1";"ERLN2_HUMAN";"Erlin-2";"ERLIN2";3;8;0,000289351855489064;1;2;2;1;2;2;3;1;NA;NA;NA;NA;"endoplasmic reticulum, integral component of membrane, endoplasmic reticulum membrane, protein complex";0,000185159468592325
"221";221;"O94979";"O94979-1,O94979-2,O94979-3,O94979-4,O94979-6,O94979-8,O94979-9";"O94979-1,O94979-2,O94979-3,O94979-4,O94979-6,O94979-8,O94979-9";"SC31A_HUMAN";"Protein transport protein Sec31A";"SEC31A";7;23;2,35872827162955e-05;5;4;6;6;5;5;7;6;NA;NA;NA;NA;"cytoplasm, cytosol, Golgi membrane, endoplasmic reticulum membrane, vesicle coat, ER to Golgi transport vesicle, COPII vesicle coat, endoplasmic reticulum, intracellular membrane-bounded organelle, ER to Golgi transport vesicle membrane, perinuclear region of cytoplasm";0,000532333472202935
"223";223;"O95139";"O95139";"O95139";"NDUB6_HUMAN";"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6";"NDUFB6";2;4;0,000273689394561363;1;NA;1;2;1;NA;1;2;0,000373432107942948;NA;0,000344005330869109;0,000687380246325412;"mitochondrial respiratory chain complex I, integral component of membrane, mitochondrial membrane, mitochondrial inner membrane";9,25797342961626e-05
"225";225;"O95168";"O95168-1,O95168-2";"O95168-1,O95168-2";"NDUB4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4";"NDUFB4";2;5;0,000169729857092318;2;2;NA;NA;2;3;NA;NA;NA;NA;NA;NA;"nucleus, mitochondrial respiratory chain complex I, mitochondrial inner membrane, nuclear membrane, mitochondrion, integral component of membrane";0,000115724667870203
"227";227;"O95202";"O95202-1";"O95202-1";"LETM1_HUMAN";"LETM1 and EF-hand domain-containing protein 1, mitochondrial";"LETM1";8;23;0,000272578341538787;6;3;5;6;7;5;5;6;NA;NA;NA;NA;"mitochondrion, mitochondrial inner membrane, integral component of membrane";0,000532333472202935
"230";230;"O95292";"O95292-1";"O95292-1";"VAPB_HUMAN";"Vesicle-associated membrane protein-associated protein B/C";"VAPB";1;1;4,14476120158773e-05;1;0;0;0;1;0;0;0;NA;NA;NA;NA;"endoplasmic reticulum membrane, integral component of membrane, endoplasmic reticulum, Golgi apparatus";2,31449335740406e-05
"231";231;"O95299";"O95299";"O95299";"NDUAA_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial";"NDUFA10";5;12;0,000296047119750883;2;3;4;2;2;3;5;2;0,000269291886291252;0,000408019961786519;0,000620178624665436;0,000247844145153952;"mitochondrial respiratory chain complex I, mitochondrial inner membrane, mitochondrial matrix";0,000277739202888488
"241";241;"O95486";"O95486-1";"O95486-1";"SC24A_HUMAN";"Protein transport protein Sec24A";"SEC24A";1;1;8,01286425065291e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"COPII vesicle coat, ER to Golgi transport vesicle membrane, perinuclear region of cytoplasm, endoplasmic reticulum membrane, Golgi membrane, cytosol";2,31449335740406e-05
"243";243;"O95573";"O95573";"O95573";"ACSL3_HUMAN";"Long-chain-fatty-acid--CoA ligase 3";"ACSL3";6;17;0,000230832605645553;5;5;3;4;5;5;3;4;0,000392292315414814;0,000368823599716749;0,000201816460776544;0,000264768687473492;"endoplasmic reticulum, perinuclear region of cytoplasm, integral component of membrane, mitochondrial outer membrane, lipid particle, Golgi apparatus, peroxisomal membrane, endoplasmic reticulum membrane";0,000393463870758691
"252";252;"O95831";"O95831-1,O95831-3";"O95831-1,O95831-3";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";16;68;0,000485765189694557;11;13;12;13;15;17;17;19;NA;NA;NA;NA;"perinuclear region of cytoplasm, nucleus, mitochondrial intermembrane space, cytosol, mitochondrion, mitochondrial inner membrane";0,00157385548303476
"257";257;"O96000";"O96000";"O96000";"NDUBA_HUMAN";"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10";"NDUFB10";3;10;0,000509189571276955;2;2;2;2;2;2;3;3;0,000555805928101132;0,000561422815636489;0,00076801190147522;0,000767308181944646;"mitochondrial inner membrane, mitochondrial respiratory chain complex I";0,000231449335740406
"258";258;"O96008";"O96008-1";"O96008-1";"TOM40_HUMAN";"Mitochondrial import receptor subunit TOM40 homolog";"TOMM40";4;14;0,000339647780508285;3;2;2;2;3;3;5;3;NA;NA;NA;NA;"integral component of membrane, mitochondrial outer membrane translocase complex, pore complex, integral component of mitochondrial outer membrane";0,000324029070036569
"262";262;"P00387";"P00387-1,P00387-2,P00387-3";"P00387-1,P00387-2,P00387-3";"NB5R3_HUMAN";"NADH-cytochrome b5 reductase 3";"CYB5R3";7;21;0,000203675828510782;5;4;5;5;5;5;5;6;NA;NA;NA;NA;"cytoplasm, membrane, mitochondrial outer membrane, endoplasmic reticulum membrane, lipid particle, hemoglobin complex, mitochondrial inner membrane, mitochondrion, endoplasmic reticulum";0,000486043605054854
"264";264;"P00403";"P00403";"P00403";"COX2_HUMAN";"Cytochrome c oxidase subunit 2";"MT-CO2";6;29;0,00111887118129051;6;6;6;6;7;7;8;7;0,00147398752738714;0,00148888341415492;0,00155181259387651;0,00135659185177879;"mitochondrion, mitochondrial inner membrane, respiratory chain complex IV, integral component of membrane";0,000671203073647179
"265";265;"P00414";"P00414";"P00414";"COX3_HUMAN";"Cytochrome c oxidase subunit 3";"MT-CO3";1;6;0,000201334727033647;1;1;1;1;1;2;1;2;0,000183139118071637;0,000369979786549717;0,000168707595215502;0,000337106021186409;"mitochondrial inner membrane, respiratory chain complex IV, integral component of membrane";0,000138869601444244
"286";286;"P04179";"P04179-1,P04179-2";"P04179-1,P04179-2";"SODM_HUMAN";"Superoxide dismutase [Mn], mitochondrial";"SOD2";3;11;0,000216978979472072;3;3;2;2;3;3;2;3;NA;NA;NA;NA;"mitochondrial nucleoid, mitochondrial matrix, mitochondrion, mitochondrial inner membrane";0,000254594269314447
"294";294;"P04843";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";27;102;0,00147170046762486;18;24;21;24;23;27;24;28;0,00181117648399347;0,00214765037546611;0,00174099567780874;0,0020293004965653;"oligosaccharyltransferase complex, rough endoplasmic reticulum, integral component of membrane, melanosome, endoplasmic reticulum membrane";0,00236078322455215
