"";"ID";"AC";"Description";"Gene";"GSC.pos";"GSC.neg";"GSC.pos.norm";"GSC.neg.norm";"ratio";"sqrt.ratio"
"87";"FKBP5_HUMAN";"Q13451";"Peptidyl-prolyl cis-trans isomerase FKBP5";"FKBP5";2;4;0,00632911392405063;0,0126582278481013;0,5;0,707106781186548
"88";"FLNA_HUMAN";"P21333";"Filamin-A";"FLNA";27;14;0,0854430379746835;0,0443037974683544;1,92857142857143;1,38873014965883
"89";"FSCN1_HUMAN";"Q16658";"Fascin";"FSCN1";14;17;0,0443037974683544;0,0537974683544304;0,823529411764706;0,90748521297303
"90";"FUBP1_HUMAN";"Q96AE4";"Far upstream element-binding protein 1";"FUBP1";7;14;0,0221518987341772;0,0443037974683544;0,5;0,707106781186548
"91";"FUBP2_HUMAN";"Q92945";"Far upstream element-binding protein 2";"KHSRP";12;11;0,0379746835443038;0,0348101265822785;1,09090909090909;1,04446593573419
"92";"G3P_HUMAN";"P04406";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";61;62;0,193037974683544;0,19620253164557;0,983870967741935;0,991902700743342
"93";"G6PI_HUMAN";"P06744";"Glucose-6-phosphate isomerase";"GPI";4;18;0,0126582278481013;0,0569620253164557;0,222222222222222;0,471404520791032
"94";"GANAB_HUMAN";"Q14697";"Neutral alpha-glucosidase AB";"GANAB";5;7;0,0158227848101266;0,0221518987341772;0,714285714285714;0,845154254728517
"95";"GBB1_HUMAN, GBB2_HUMAN, GBB4_HUMAN";"P62879";"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1, Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2, Guanine nucleotide-binding protein subunit beta-4";"GNB1, GNB2, GNB4";2;2;0,00632911392405063;0,00632911392405063;1;1
"96";"GBLP_HUMAN";"P63244";"Guanine nucleotide-binding protein subunit beta-2-like 1";"GNB2L1";4;6;0,0126582278481013;0,0189873417721519;0,666666666666667;0,816496580927726
"97";"GDIB_HUMAN";"P50395";"Rab GDP dissociation inhibitor beta";"GDI2";2;11;0,00632911392405063;0,0348101265822785;0,181818181818182;0,426401432711221
"98";"GLGB_HUMAN";"Q04446";"1,4-alpha-glucan-branching enzyme";"GBE1";4;5;0,0126582278481013;0,0158227848101266;0,8;0,894427190999916
"99";"GMFG_HUMAN";"O60234";"Glia maturation factor gamma";"GMFG";2;3;0,00632911392405063;0,00949367088607595;0,666666666666667;0,816496580927726
"100";"GRP75_HUMAN";"P38646";"Stress-70 protein, mitochondrial";"HSPA9";16;33;0,0506329113924051;0,104430379746835;0,484848484848485;0,696310623822791
"101";"GRP78_HUMAN";"P11021";"78 kDa glucose-regulated protein";"HSPA5";18;32;0,0569620253164557;0,10126582278481;0,5625;0,75
"102";"GSTP1_HUMAN";"P09211";"Glutathione S-transferase P";"GSTP1";9;10;0,0284810126582278;0,0316455696202532;0,9;0,948683298050514
"103";"H13_HUMAN";"P16402";"Histone H1.3";"HIST1H1D";2;2;0,00632911392405063;0,00632911392405063;1;1
"104";"H14_HUMAN";"P10412";"Histone H1.4";"HIST1H1E";1;1;0,00316455696202532;0,00316455696202532;1;1
"105";"H2A1_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AJ_HUMAN";"P04908";"Histone H2A type 1, Histone H2A type 1-B/E, Histone H2A type 1-C, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A type 3, Histone H2A.J";"H2AFJ, HIST1H2AB,HIST1H2AE, HIST1H2AC, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AM,HIST1H2AL,HIST1H2AG,HIST1H2AI,HIST1H2AK, HIST2H2AA3,HIST2H2AA4, HIST2H2AC, HIST3H2A";10;8;0,0316455696202532;0,0253164556962025;1,25;1,11803398874989
"106";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN";"O60814";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F";"HIST1H2BD, HIST1H2BF,HIST1H2BE,HIST1H2BC,HIST1H2BG,HIST1H2BI, HIST1H2BH, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";12;5;0,0379746835443038;0,0158227848101266;2,4;1,54919333848297
"107";"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN";"P68431";"Histone H3.1, Histone H3.1t, Histone H3.2, Histone H3.3";"H3F3A,H3F3B, HIST1H3C,HIST1H3G,HIST1H3I,HIST1H3F,HIST1H3H,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3B,HIST1H3A, HIST2H3A,HIST2H3C,HIST2H3D, HIST3H3";4;9;0,0126582278481013;0,0284810126582278;0,444444444444444;0,666666666666667
"108";"H4_HUMAN";"P62805";"Histone H4";"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F";19;21;0,060126582278481;0,0664556962025316;0,904761904761905;0,951189731211342
"109";"HACD3_HUMAN";"Q9P035";"Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 3";"PTPLAD1";1;3;0,00316455696202532;0,00949367088607595;0,333333333333333;0,577350269189626
"110";"HCD2_HUMAN";"Q99714";"3-hydroxyacyl-CoA dehydrogenase type-2";"HSD17B10";2;8;0,00632911392405063;0,0253164556962025;0,25;0,5
"111";"HDAC1_HUMAN, HDAC2_HUMAN";"Q92769";"Histone deacetylase 1, Histone deacetylase 2";"HDAC1, HDAC2";2;2;0,00632911392405063;0,00632911392405063;1;1
"112";"HMGB1_HUMAN";"P09429";"High mobility group protein B1";"HMGB1";19;38;0,060126582278481;0,120253164556962;0,5;0,707106781186548
"113";"HMGB2_HUMAN";"P26583";"High mobility group protein B2";"HMGB2";10;25;0,0316455696202532;0,0791139240506329;0,4;0,632455532033676
"114";"HNRH1_HUMAN";"P31943";"Heterogeneous nuclear ribonucleoprotein H";"HNRNPH1";8;8;0,0253164556962025;0,0253164556962025;1;1
"115";"HNRPC_HUMAN";"P07910";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";2;5;0,00632911392405063;0,0158227848101266;0,4;0,632455532033676
"116";"HNRPD_HUMAN";"Q14103";"Heterogeneous nuclear ribonucleoprotein D0";"HNRNPD";11;22;0,0348101265822785;0,069620253164557;0,5;0,707106781186548
"117";"HNRPK_HUMAN";"P61978";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";33;26;0,104430379746835;0,0822784810126582;1,26923076923077;1,12660142429822
"118";"HNRPQ_HUMAN";"O60506";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";1;9;0,00316455696202532;0,0284810126582278;0,111111111111111;0,333333333333333
"119";"HNRPU_HUMAN";"Q00839";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";8;7;0,0253164556962025;0,0221518987341772;1,14285714285714;1,0690449676497
"120";"HNRPU_HUMAN";"Q00839";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";8;1;0,0253164556962025;0,00316455696202532;8;2,82842712474619
"121";"HNRPU_HUMAN";"Q00839";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";3;7;0,00949367088607595;0,0221518987341772;0,428571428571429;0,654653670707977
"122";"HNRPU_HUMAN";"Q00839";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";3;1;0,00949367088607595;0,00316455696202532;3;1,73205080756888
"123";"HORN_HUMAN";"Q86YZ3";"Hornerin";"HRNR";25;45;0,0791139240506329;0,142405063291139;0,555555555555556;0,74535599249993
"124";"HS105_HUMAN";"Q92598";"Heat shock protein 105 kDa";"HSPH1";7;5;0,0221518987341772;0,0158227848101266;1,4;1,18321595661992
"125";"HS90A_HUMAN";"P07900";"Heat shock protein HSP 90-alpha";"HSP90AA1";26;35;0,0822784810126582;0,110759493670886;0,742857142857143;0,861891607371335
"126";"HS90B_HUMAN";"P08238";"Heat shock protein HSP 90-beta";"HSP90AB1";27;33;0,0854430379746835;0,104430379746835;0,818181818181818;0,904534033733291
"127";"HSP71_HUMAN";"P08107";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";4;3;0,0126582278481013;0,00949367088607595;1,33333333333333;1,15470053837925
"128";"HSP74_HUMAN";"P34932";"Heat shock 70 kDa protein 4";"HSPA4";2;5;0,00632911392405063;0,0158227848101266;0,4;0,632455532033676
"129";"HSP76_HUMAN";"P17066";"Heat shock 70 kDa protein 6";"HSPA6";0;1;0;0,00316455696202532;0;0
"130";"HSP7C_HUMAN";"P11142";"Heat shock cognate 71 kDa protein";"HSPA8";42;42;0,132911392405063;0,132911392405063;1;1
"131";"HUWE1_HUMAN";"Q7Z6Z7";"E3 ubiquitin-protein ligase HUWE1";"HUWE1";12;2;0,0379746835443038;0,00632911392405063;6;2,44948974278318
"132";"I2BP2_HUMAN";"Q7Z5L9";"Interferon regulatory factor 2-binding protein 2";"IRF2BP2";2;2;0,00632911392405063;0,00632911392405063;1;1
"133";"IDHP_HUMAN";"P48735";"Isocitrate dehydrogenase [NADP], mitochondrial";"IDH2";12;10;0,0379746835443038;0,0316455696202532;1,2;1,09544511501033
"134";"IF16_HUMAN";"Q16666";"Gamma-interferon-inducible protein 16";"IFI16";5;3;0,0158227848101266;0,00949367088607595;1,66666666666667;1,29099444873581
"135";"IF2A_HUMAN";"P05198";"Eukaryotic translation initiation factor 2 subunit 1";"EIF2S1";5;7;0,0158227848101266;0,0221518987341772;0,714285714285714;0,845154254728517
"136";"IF2B_HUMAN";"P20042";"Eukaryotic translation initiation factor 2 subunit 2";"EIF2S2";5;2;0,0158227848101266;0,00632911392405063;2,5;1,58113883008419
"137";"IF2P_HUMAN";"O60841";"Eukaryotic translation initiation factor 5B";"EIF5B";8;16;0,0253164556962025;0,0506329113924051;0,5;0,707106781186548
"138";"IF4B_HUMAN";"P23588";"Eukaryotic translation initiation factor 4B";"EIF4B";4;8;0,0126582278481013;0,0253164556962025;0,5;0,707106781186548
"139";"IF4H_HUMAN";"Q15056";"Eukaryotic translation initiation factor 4H";"EIF4H";2;8;0,00632911392405063;0,0253164556962025;0,25;0,5
"140";"IF5A1_HUMAN";"P63241";"Eukaryotic translation initiation factor 5A-1";"EIF5A";9;19;0,0284810126582278;0,060126582278481;0,473684210526316;0,688247201611685
"141";"IFM1_HUMAN, IFM2_HUMAN, IFM3_HUMAN";"P13164";"Interferon-induced transmembrane protein 1, Interferon-induced transmembrane protein 2, Interferon-induced transmembrane protein 3";"IFITM1, IFITM2, IFITM3";3;1;0,00949367088607595;0,00316455696202532;3;1,73205080756888
"142";"IMMT_HUMAN";"Q16891";"Mitochondrial inner membrane protein";"IMMT";5;3;0,0158227848101266;0,00949367088607595;1,66666666666667;1,29099444873581
"143";"IQGA1_HUMAN";"P46940";"Ras GTPase-activating-like protein IQGAP1";"IQGAP1";3;5;0,00949367088607595;0,0158227848101266;0,6;0,774596669241483
"144";"K1967_HUMAN";"Q8N163";"DBIRD complex subunit KIAA1967";"KIAA1967";10;12;0,0316455696202532;0,0379746835443038;0,833333333333333;0,912870929175277
"145";"K1C10_HUMAN";"P13645";"Keratin, type I cytoskeletal 10";"KRT10";161;200;0,509493670886076;0,632911392405063;0,805;0,897217922246318
"147";"K1C14_HUMAN";"P02533";"Keratin, type I cytoskeletal 14";"KRT14";22;23;0,069620253164557;0,0727848101265823;0,956521739130435;0,978019293843651
"148";"K1C16_HUMAN";"P08779";"Keratin, type I cytoskeletal 16";"KRT16";13;34;0,0411392405063291;0,107594936708861;0,382352941176471;0,618346942400842
"149";"K1C9_HUMAN";"P35527";"Keratin, type I cytoskeletal 9";"KRT9";127;160;0,401898734177215;0,506329113924051;0,79375;0,890926484060273
"150";"K22E_HUMAN";"P35908";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";109;154;0,34493670886076;0,487341772151899;0,707792207792208;0,841303873634377
"151";"K22O_HUMAN";"Q01546";"Keratin, type II cytoskeletal 2 oral";"KRT76";0;1;0;0,00316455696202532;0;0
"152";"K2C1_HUMAN";"P04264";"Keratin, type II cytoskeletal 1";"KRT1";196;204;0,620253164556962;0,645569620253165;0,96078431372549;0,980196058819607
"155";"K2C5_HUMAN";"P13647";"Keratin, type II cytoskeletal 5";"KRT5";29;44;0,0917721518987342;0,139240506329114;0,659090909090909;0,811844140885989
"156";"K2C6A_HUMAN";"P02538";"Keratin, type II cytoskeletal 6A";"KRT6A";4;5;0,0126582278481013;0,0158227848101266;0,8;0,894427190999916
"157";"K2C6B_HUMAN";"P04259";"Keratin, type II cytoskeletal 6B";"KRT6B";0;2;0;0,00632911392405063;0;0
"158";"K2C7_HUMAN";"P08729";"Keratin, type II cytoskeletal 7";"KRT7";6;10;0,0189873417721519;0,0316455696202532;0,6;0,774596669241483
"161";"K6PL_HUMAN";"P17858";"6-phosphofructokinase, liver type";"PFKL";1;1;0,00316455696202532;0,00316455696202532;1;1
"162";"K6PP_HUMAN";"Q01813";"6-phosphofructokinase type C";"PFKP";1;8;0,00316455696202532;0,0253164556962025;0,125;0,353553390593274
"163";"KAD2_HUMAN";"P54819";"Adenylate kinase 2, mitochondrial";"AK2";4;10;0,0126582278481013;0,0316455696202532;0,4;0,632455532033676
