"";"ID";"AC";"Description";"Gene";"GSC.pos";"GSC.neg";"GSC.pos.norm";"GSC.neg.norm";"ratio";"sqrt.ratio"
"15";"ACADV_HUMAN";"P49748";"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial";"ACADVL";2;4;0,00862068965517241;0,0172413793103448;0,5;0,707106781186548
"16";"ACLY_HUMAN";"P53396";"ATP-citrate synthase";"ACLY";29;10;0,125;0,0431034482758621;2,9;1,70293863659264
"17";"ACSL4_HUMAN";"O60488";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";13;6;0,0560344827586207;0,0258620689655172;2,16666666666667;1,47196014438797
"18";"ACTB_HUMAN, ACTG_HUMAN";"P60709";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";47;13;0,202586206896552;0,0560344827586207;3,61538461538461;1,90141647604743
"19";"ACTBL_HUMAN";"Q562R1";"Beta-actin-like protein 2";"ACTBL2";2;1;0,00862068965517241;0,00431034482758621;2;1,4142135623731
"20";"ADRM1_HUMAN";"Q16186";"Proteasomal ubiquitin receptor ADRM1";"ADRM1";2;2;0,00862068965517241;0,00862068965517241;1;1
"21";"ADT2_HUMAN";"P05141";"ADP/ATP translocase 2";"SLC25A5";13;11;0,0560344827586207;0,0474137931034483;1,18181818181818;1,08711461300922
"22";"ADT3_HUMAN";"P12236";"ADP/ATP translocase 3";"SLC25A6";2;2;0,00862068965517241;0,00862068965517241;1;1
"23";"AIFM1_HUMAN";"O95831";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";25;12;0,107758620689655;0,0517241379310345;2,08333333333333;1,44337567297406
"24";"AIMP2_HUMAN";"Q13155";"Aminoacyl tRNA synthase complex-interacting multifunctional protein 2";"AIMP2";4;3;0,0172413793103448;0,0129310344827586;1,33333333333333;1,15470053837925
"25";"ALDOA_HUMAN";"P04075";"Fructose-bisphosphate aldolase A";"ALDOA";58;101;0,25;0,435344827586207;0,574257425742574;0,757797747253563
"26";"ALDOC_HUMAN";"P09972";"Fructose-bisphosphate aldolase C";"ALDOC";6;14;0,0258620689655172;0,0603448275862069;0,428571428571429;0,654653670707977
"27";"AN32A_HUMAN";"P39687";"Acidic leucine-rich nuclear phosphoprotein 32 family member A";"ANP32A";9;1;0,0387931034482759;0,00431034482758621;9;3
"28";"AN32B_HUMAN";"Q92688";"Acidic leucine-rich nuclear phosphoprotein 32 family member B";"ANP32B";8;2;0,0344827586206897;0,00862068965517241;4;2
"29";"ARC1B_HUMAN";"O15143";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";4;5;0,0172413793103448;0,021551724137931;0,8;0,894427190999916
"30";"ARF1_HUMAN, ARF3_HUMAN";"P61204";"ADP-ribosylation factor 1, ADP-ribosylation factor 3";"ARF1, ARF3";1;1;0,00431034482758621;0,00431034482758621;1;1
"31";"ARP2_HUMAN";"P61160";"Actin-related protein 2";"ACTR2";12;15;0,0517241379310345;0,0646551724137931;0,8;0,894427190999916
"32";"ARP3_HUMAN";"P61158";"Actin-related protein 3";"ACTR3";14;18;0,0603448275862069;0,0775862068965517;0,777777777777778;0,881917103688197
"33";"ARPC2_HUMAN";"O15144";"Actin-related protein 2/3 complex subunit 2";"ARPC2";5;9;0,021551724137931;0,0387931034482759;0,555555555555556;0,74535599249993
"34";"ARPC4_HUMAN";"P59998";"Actin-related protein 2/3 complex subunit 4";"ARPC4";4;7;0,0172413793103448;0,0301724137931034;0,571428571428571;0,755928946018454
"35";"AT2A2_HUMAN";"P16615";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2";"ATP2A2";17;3;0,0732758620689655;0,0129310344827586;5,66666666666667;2,38047614284762
"36";"AT5F1_HUMAN";"P24539";"ATP synthase subunit b, mitochondrial";"ATP5F1";17;5;0,0732758620689655;0,021551724137931;3,4;1,84390889145858
"37";"ATP5H_HUMAN";"O75947";"ATP synthase subunit d, mitochondrial";"ATP5H";24;5;0,103448275862069;0,021551724137931;4,8;2,19089023002066
"38";"ATPA_HUMAN";"P25705";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";75;28;0,323275862068966;0,120689655172414;2,67857142857143;1,63663417676994
"39";"ATPB_HUMAN";"P06576";"ATP synthase subunit beta, mitochondrial";"ATP5B";74;30;0,318965517241379;0,129310344827586;2,46666666666667;1,57056253191863
"40";"ATPG_HUMAN";"P36542";"ATP synthase subunit gamma, mitochondrial";"ATP5C1";15;6;0,0646551724137931;0,0258620689655172;2,5;1,58113883008419
"41";"ATPO_HUMAN";"P48047";"ATP synthase subunit O, mitochondrial";"ATP5O";18;4;0,0775862068965517;0,0172413793103448;4,5;2,12132034355964
"42";"BAF_HUMAN";"O75531";"Barrier-to-autointegration factor";"BANF1";5;1;0,021551724137931;0,00431034482758621;5;2,23606797749979
"43";"BAP31_HUMAN";"P51572";"B-cell receptor-associated protein 31";"BCAP31";17;4;0,0732758620689655;0,0172413793103448;4,25;2,06155281280883
"44";"BUB3_HUMAN";"O43684";"Mitotic checkpoint protein BUB3";"BUB3";8;6;0,0344827586206897;0,0258620689655172;1,33333333333333;1,15470053837925
"45";"C1QBP_HUMAN";"Q07021";"Complement component 1 Q subcomponent-binding protein, mitochondrial";"C1QBP";17;2;0,0732758620689655;0,00862068965517241;8,5;2,91547594742265
"46";"C1TC_HUMAN";"P11586";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";31;38;0,133620689655172;0,163793103448276;0,815789473684211;0,903210647459501
"47";"CALR_HUMAN";"P27797";"Calreticulin";"CALR";14;3;0,0603448275862069;0,0129310344827586;4,66666666666667;2,16024689946929
"48";"CALX_HUMAN";"P27824";"Calnexin";"CANX";42;6;0,181034482758621;0,0258620689655172;7;2,64575131106459
"49";"CAP1_HUMAN";"Q01518";"Adenylyl cyclase-associated protein 1";"CAP1";11;3;0,0474137931034483;0,0129310344827586;3,66666666666667;1,91485421551268
"50";"CBX3_HUMAN";"Q13185";"Chromobox protein homolog 3";"CBX3";3;1;0,0129310344827586;0,00431034482758621;3;1,73205080756888
"51";"CC124_HUMAN";"Q96CT7";"Coiled-coil domain-containing protein 124";"CCDC124";5;9;0,021551724137931;0,0387931034482759;0,555555555555556;0,74535599249993
"52";"CDK1_HUMAN";"P06493";"Cyclin-dependent kinase 1";"CDK1";8;5;0,0344827586206897;0,021551724137931;1,6;1,26491106406735
"53";"CH60_HUMAN";"P10809";"60 kDa heat shock protein, mitochondrial";"HSPD1";144;9;0,620689655172414;0,0387931034482759;16;4
"54";"CISY_HUMAN";"O75390";"Citrate synthase, mitochondrial";"CS";15;10;0,0646551724137931;0,0431034482758621;1,5;1,22474487139159
"55";"CLCA_HUMAN";"P09496";"Clathrin light chain A";"CLTA";2;1;0,00862068965517241;0,00431034482758621;2;1,4142135623731
"56";"CLH1_HUMAN";"Q00610";"Clathrin heavy chain 1";"CLTC";58;55;0,25;0,237068965517241;1,05454545454545;1,02691063610494
"57";"CN166_HUMAN";"Q9Y224";"UPF0568 protein C14orf166";"C14orf166";3;3;0,0129310344827586;0,0129310344827586;1;1
"58";"COF1_HUMAN";"P23528";"Cofilin-1";"CFL1";12;4;0,0517241379310345;0,0172413793103448;3;1,73205080756888
"59";"COPB_HUMAN";"P53618";"Coatomer subunit beta";"COPB1";2;2;0,00862068965517241;0,00862068965517241;1;1
"60";"COPD_HUMAN";"P48444";"Coatomer subunit delta";"ARCN1";2;2;0,00862068965517241;0,00862068965517241;1;1
"61";"COR1C_HUMAN";"Q9ULV4";"Coronin-1C";"CORO1C";8;5;0,0344827586206897;0,021551724137931;1,6;1,26491106406735
"62";"CPSF5_HUMAN";"O43809";"Cleavage and polyadenylation specificity factor subunit 5";"NUDT21";4;6;0,0172413793103448;0,0258620689655172;0,666666666666667;0,816496580927726
"63";"CYBP_HUMAN";"Q9HB71";"Calcyclin-binding protein";"CACYBP";13;12;0,0560344827586207;0,0517241379310345;1,08333333333333;1,04083299973307
"64";"DAD1_HUMAN";"P61803";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1";"DAD1";1;2;0,00431034482758621;0,00862068965517241;0,5;0,707106781186548
"65";"DBPA_HUMAN";"P16989";"DNA-binding protein A";"CSDA";4;3;0,0172413793103448;0,0129310344827586;1,33333333333333;1,15470053837925
"66";"DDX1_HUMAN";"Q92499";"ATP-dependent RNA helicase DDX1";"DDX1";8;6;0,0344827586206897;0,0258620689655172;1,33333333333333;1,15470053837925
"67";"DDX17_HUMAN";"Q92841";"Probable ATP-dependent RNA helicase DDX17";"DDX17";3;21;0,0129310344827586;0,0905172413793103;0,142857142857143;0,377964473009227
"68";"DDX17_HUMAN";"Q92841";"Probable ATP-dependent RNA helicase DDX17";"DDX17";1;21;0,00431034482758621;0,0905172413793103;0,0476190476190476;0,218217890235992
"69";"DDX18_HUMAN";"Q9NVP1";"ATP-dependent RNA helicase DDX18";"DDX18";6;3;0,0258620689655172;0,0129310344827586;2;1,4142135623731
"70";"DDX21_HUMAN";"Q9NR30";"Nucleolar RNA helicase 2";"DDX21";19;5;0,0818965517241379;0,021551724137931;3,8;1,94935886896179
"71";"DDX24_HUMAN";"Q9GZR7";"ATP-dependent RNA helicase DDX24";"DDX24";3;2;0,0129310344827586;0,00862068965517241;1,5;1,22474487139159
"72";"DDX3X_HUMAN";"O00571";"ATP-dependent RNA helicase DDX3X";"DDX3X";29;19;0,125;0,0818965517241379;1,52631578947368;1,23544153624268
"73";"DDX5_HUMAN";"P17844";"Probable ATP-dependent RNA helicase DDX5";"DDX5";20;18;0,0862068965517241;0,0775862068965517;1,11111111111111;1,05409255338946
"74";"DDX50_HUMAN";"Q9BQ39";"ATP-dependent RNA helicase DDX50";"DDX50";1;1;0,00431034482758621;0,00431034482758621;1;1
"75";"DDX6_HUMAN";"P26196";"Probable ATP-dependent RNA helicase DDX6";"DDX6";11;7;0,0474137931034483;0,0301724137931034;1,57142857142857;1,25356634105602
"76";"DECR_HUMAN";"Q16698";"2,4-dienoyl-CoA reductase, mitochondrial";"DECR1";10;9;0,0431034482758621;0,0387931034482759;1,11111111111111;1,05409255338946
"77";"DHB11_HUMAN";"Q8NBQ5";"Estradiol 17-beta-dehydrogenase 11";"HSD17B11";8;2;0,0344827586206897;0,00862068965517241;4;2
"78";"DHB4_HUMAN";"P51659";"Peroxisomal multifunctional enzyme type 2";"HSD17B4";5;6;0,021551724137931;0,0258620689655172;0,833333333333333;0,912870929175277
"79";"DHX9_HUMAN";"Q08211";"ATP-dependent RNA helicase A";"DHX9";33;42;0,142241379310345;0,181034482758621;0,785714285714286;0,886405260427918
"80";"DKC1_HUMAN";"O60832";"H/ACA ribonucleoprotein complex subunit 4";"DKC1";7;3;0,0301724137931034;0,0129310344827586;2,33333333333333;1,52752523165195
"81";"DLDH_HUMAN";"P09622";"Dihydrolipoyl dehydrogenase, mitochondrial";"DLD";16;10;0,0689655172413793;0,0431034482758621;1,6;1,26491106406735
"82";"DNJA1_HUMAN";"P31689";"DnaJ homolog subfamily A member 1";"DNAJA1";14;4;0,0603448275862069;0,0172413793103448;3,5;1,87082869338697
"83";"DNJB1_HUMAN";"P25685";"DnaJ homolog subfamily B member 1";"DNAJB1";2;2;0,00862068965517241;0,00862068965517241;1;1
"84";"DNJC8_HUMAN";"O75937";"DnaJ homolog subfamily C member 8";"DNAJC8";4;2;0,0172413793103448;0,00862068965517241;2;1,4142135623731
"85";"DSRAD_HUMAN";"P55265";"Double-stranded RNA-specific adenosine deaminase";"ADAR";8;8;0,0344827586206897;0,0344827586206897;1;1
"86";"DX39A_HUMAN";"O00148";"ATP-dependent RNA helicase DDX39A";"DDX39A";19;8;0,0818965517241379;0,0344827586206897;2,375;1,54110350074224
"87";"DYL1_HUMAN";"P63167";"Dynein light chain 1, cytoplasmic";"DYNLL1";4;4;0,0172413793103448;0,0172413793103448;1;1
"88";"EBP_HUMAN";"Q15125";"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase";"EBP";5;3;0,021551724137931;0,0129310344827586;1,66666666666667;1,29099444873581
"89";"ECH1_HUMAN";"Q13011";"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial";"ECH1";21;4;0,0905172413793103;0,0172413793103448;5,25;2,29128784747792
"90";"EF1B_HUMAN";"P24534";"Elongation factor 1-beta";"EEF1B2";7;3;0,0301724137931034;0,0129310344827586;2,33333333333333;1,52752523165195
"91";"EF1D_HUMAN";"P29692";"Elongation factor 1-delta";"EEF1D";9;8;0,0387931034482759;0,0344827586206897;1,125;1,06066017177982
"92";"EF1G_HUMAN";"P26641";"Elongation factor 1-gamma";"EEF1G";21;14;0,0905172413793103;0,0603448275862069;1,5;1,22474487139159
"93";"EF2_HUMAN";"P13639";"Elongation factor 2";"EEF2";61;45;0,262931034482759;0,193965517241379;1,35555555555556;1,16428327977153
"94";"EFTU_HUMAN";"P49411";"Elongation factor Tu, mitochondrial";"TUFM";51;16;0,219827586206897;0,0689655172413793;3,1875;1,78535710713571
"95";"EIF3A_HUMAN";"Q14152";"Eukaryotic translation initiation factor 3 subunit A";"EIF3A";36;40;0,155172413793103;0,172413793103448;0,9;0,948683298050514
"96";"EIF3B_HUMAN";"P55884";"Eukaryotic translation initiation factor 3 subunit B";"EIF3B";11;11;0,0474137931034483;0,0474137931034483;1;1
"97";"EIF3C_HUMAN";"Q99613";"Eukaryotic translation initiation factor 3 subunit C";"EIF3C,EIF3CL";28;27;0,120689655172414;0,116379310344828;1,03703703703704;1,01835015443463
"98";"EIF3D_HUMAN";"O15371";"Eukaryotic translation initiation factor 3 subunit D";"EIF3D";13;9;0,0560344827586207;0,0387931034482759;1,44444444444444;1,20185042515466
"99";"EIF3E_HUMAN";"P60228";"Eukaryotic translation initiation factor 3 subunit E";"EIF3E";11;11;0,0474137931034483;0,0474137931034483;1;1
"100";"EIF3F_HUMAN";"O00303";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";5;1;0,021551724137931;0,00431034482758621;5;2,23606797749979
"101";"EIF3G_HUMAN";"O75821";"Eukaryotic translation initiation factor 3 subunit G";"EIF3G";12;13;0,0517241379310345;0,0560344827586207;0,923076923076923;0,960768922830523
"102";"EIF3H_HUMAN";"O15372";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";5;9;0,021551724137931;0,0387931034482759;0,555555555555556;0,74535599249993
"103";"EIF3I_HUMAN";"Q13347";"Eukaryotic translation initiation factor 3 subunit I";"EIF3I";8;11;0,0344827586206897;0,0474137931034483;0,727272727272727;0,852802865422442
"104";"EIF3L_HUMAN";"Q9Y262";"Eukaryotic translation initiation factor 3 subunit L";"EIF3L";12;22;0,0517241379310345;0,0948275862068965;0,545454545454546;0,738548945875996
"105";"EIF3M_HUMAN";"Q7L2H7";"Eukaryotic translation initiation factor 3 subunit M";"EIF3M";7;7;0,0301724137931034;0,0301724137931034;1;1
"106";"ELAV1_HUMAN";"Q15717";"ELAV-like protein 1";"ELAVL1";17;4;0,0732758620689655;0,0172413793103448;4,25;2,06155281280883
"107";"ELOC_HUMAN";"Q15369";"Transcription elongation factor B polypeptide 1";"TCEB1";2;7;0,00862068965517241;0,0301724137931034;0,285714285714286;0,534522483824849
"108";"ENOA_HUMAN";"P06733";"Alpha-enolase";"ENO1";28;23;0,120689655172414;0,0991379310344828;1,21739130434783;1,10335456873474
"109";"ENPL_HUMAN";"P14625";"Endoplasmin";"HSP90B1";58;4;0,25;0,0172413793103448;14,5;3,80788655293195
"110";"ERH_HUMAN";"P84090";"Enhancer of rudimentary homolog";"ERH";8;7;0,0344827586206897;0,0301724137931034;1,14285714285714;1,0690449676497
"111";"EVL_HUMAN";"Q9UI08";"Ena/VASP-like protein";"EVL";1;7;0,00431034482758621;0,0301724137931034;0,142857142857143;0,377964473009227
"112";"EWS_HUMAN";"Q01844";"RNA-binding protein EWS";"EWSR1";4;9;0,0172413793103448;0,0387931034482759;0,444444444444444;0,666666666666667
"113";"EZRI_HUMAN";"P15311";"Ezrin";"EZR";8;4;0,0344827586206897;0,0172413793103448;2;1,4142135623731
"114";"F162A_HUMAN";"Q96A26";"Protein FAM162A";"FAM162A";12;7;0,0517241379310345;0,0301724137931034;1,71428571428571;1,30930734141595
"115";"FAS_HUMAN";"P49327";"Fatty acid synthase";"FASN";49;7;0,211206896551724;0,0301724137931034;7;2,64575131106459
"116";"FBRL_HUMAN";"P22087";"rRNA 2'-O-methyltransferase fibrillarin";"FBL";10;4;0,0431034482758621;0,0172413793103448;2,5;1,58113883008419
"117";"FEN1_HUMAN";"P39748";"Flap endonuclease 1";"FEN1";1;4;0,00431034482758621;0,0172413793103448;0,25;0,5
"118";"FKBP3_HUMAN";"Q00688";"Peptidyl-prolyl cis-trans isomerase FKBP3";"FKBP3";6;7;0,0258620689655172;0,0301724137931034;0,857142857142857;0,925820099772551
"119";"FLNA_HUMAN";"P21333";"Filamin-A";"FLNA";10;4;0,0431034482758621;0,0172413793103448;2,5;1,58113883008419
"120";"FLNB_HUMAN";"O75369";"Filamin-B";"FLNB";2;2;0,00862068965517241;0,00862068965517241;1;1
"121";"FUBP1_HUMAN";"Q96AE4";"Far upstream element-binding protein 1";"FUBP1";7;4;0,0301724137931034;0,0172413793103448;1,75;1,3228756555323
"122";"FUBP2_HUMAN";"Q92945";"Far upstream element-binding protein 2";"KHSRP";12;5;0,0517241379310345;0,021551724137931;2,4;1,54919333848297
"123";"FUS_HUMAN";"P35637";"RNA-binding protein FUS";"FUS";16;7;0,0689655172413793;0,0301724137931034;2,28571428571429;1,51185789203691
"124";"G3BP1_HUMAN";"Q13283";"Ras GTPase-activating protein-binding protein 1";"G3BP1";10;12;0,0431034482758621;0,0517241379310345;0,833333333333333;0,912870929175277
"125";"G3BP2_HUMAN";"Q9UN86";"Ras GTPase-activating protein-binding protein 2";"G3BP2";1;7;0,00431034482758621;0,0301724137931034;0,142857142857143;0,377964473009227
"126";"G3P_HUMAN";"P04406";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";74;360;0,318965517241379;1,55172413793103;0,205555555555556;0,453382350291181
"127";"GBLP_HUMAN";"P63244";"Guanine nucleotide-binding protein subunit beta-2-like 1";"GNB2L1";25;22;0,107758620689655;0,0948275862068965;1,13636363636364;1,06600358177805
"128";"GCDH_HUMAN";"Q92947";"Glutaryl-CoA dehydrogenase, mitochondrial";"GCDH";1;1;0,00431034482758621;0,00431034482758621;1;1
"129";"GDIR2_HUMAN";"P52566";"Rho GDP-dissociation inhibitor 2";"ARHGDIB";11;2;0,0474137931034483;0,00862068965517241;5,5;2,34520787991171
"130";"GGH_HUMAN";"Q92820";"Gamma-glutamyl hydrolase";"GGH";8;8;0,0344827586206897;0,0344827586206897;1;1
"131";"GRP75_HUMAN";"P38646";"Stress-70 protein, mitochondrial";"HSPA9";41;19;0,176724137931034;0,0818965517241379;2,15789473684211;1,46897744599504
"132";"GRP78_HUMAN";"P11021";"78 kDa glucose-regulated protein";"HSPA5";42;6;0,181034482758621;0,0258620689655172;7;2,64575131106459
"133";"GSTK1_HUMAN";"Q9Y2Q3";"Glutathione S-transferase kappa 1";"GSTK1";5;4;0,021551724137931;0,0172413793103448;1,25;1,11803398874989
"134";"H1X_HUMAN";"Q92522";"Histone H1x";"H1FX";2;1;0,00862068965517241;0,00431034482758621;2;1,4142135623731
"135";"H2AY_HUMAN";"O75367";"Core histone macro-H2A.1";"H2AFY";7;1;0,0301724137931034;0,00431034482758621;7;2,64575131106459
"136";"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN";"P68431";"Histone H3.1, Histone H3.1t, Histone H3.2, Histone H3.3";"H3F3A,H3F3B, HIST1H3C,HIST1H3G,HIST1H3I,HIST1H3F,HIST1H3H,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3B,HIST1H3A, HIST2H3A,HIST2H3C,HIST2H3D, HIST3H3";22;10;0,0948275862068965;0,0431034482758621;2,2;1,48323969741913
"137";"H4_HUMAN";"P62805";"Histone H4";"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F";63;24;0,271551724137931;0,103448275862069;2,625;1,62018517460197
"138";"HAP28_HUMAN";"Q13442";"28 kDa heat- and acid-stable phosphoprotein";"PDAP1";6;1;0,0258620689655172;0,00431034482758621;6;2,44948974278318
"139";"HCD2_HUMAN";"Q99714";"3-hydroxyacyl-CoA dehydrogenase type-2";"HSD17B10";15;9;0,0646551724137931;0,0387931034482759;1,66666666666667;1,29099444873581
"140";"HCDH_HUMAN";"Q16836";"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial";"HADH";9;6;0,0387931034482759;0,0258620689655172;1,5;1,22474487139159
"141";"HCFC1_HUMAN";"P51610";"Host cell factor 1";"HCFC1";2;7;0,00862068965517241;0,0301724137931034;0,285714285714286;0,534522483824849
"142";"HDAC1_HUMAN, HDAC2_HUMAN";"Q13547";"Histone deacetylase 1, Histone deacetylase 2";"HDAC1, HDAC2";4;2;0,0172413793103448;0,00862068965517241;2;1,4142135623731
"143";"HG2A_HUMAN";"P04233";"HLA class II histocompatibility antigen gamma chain";"CD74";5;2;0,021551724137931;0,00862068965517241;2,5;1,58113883008419
"144";"HMGB2_HUMAN";"P26583";"High mobility group protein B2";"HMGB2";16;11;0,0689655172413793;0,0474137931034483;1,45454545454545;1,20604537831105
"145";"HMGN1_HUMAN";"P05114";"Non-histone chromosomal protein HMG-14";"HMGN1";9;1;0,0387931034482759;0,00431034482758621;9;3
"146";"HNRDL_HUMAN";"O14979";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";12;8;0,0517241379310345;0,0344827586206897;1,5;1,22474487139159
"147";"HNRH1_HUMAN";"P31943";"Heterogeneous nuclear ribonucleoprotein H";"HNRNPH1";8;22;0,0344827586206897;0,0948275862068965;0,363636363636364;0,603022689155527
"148";"HNRH3_HUMAN";"P31942";"Heterogeneous nuclear ribonucleoprotein H3";"HNRNPH3";9;12;0,0387931034482759;0,0517241379310345;0,75;0,866025403784439
"149";"HNRL2_HUMAN";"Q1KMD3";"Heterogeneous nuclear ribonucleoprotein U-like protein 2";"HNRNPUL2";23;6;0,0991379310344828;0,0258620689655172;3,83333333333333;1,95789002074512
"150";"HNRPC_HUMAN";"P07910";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";41;27;0,176724137931034;0,116379310344828;1,51851851851852;1,23228183404549
"151";"HNRPD_HUMAN";"Q14103";"Heterogeneous nuclear ribonucleoprotein D0";"HNRNPD";24;16;0,103448275862069;0,0689655172413793;1,5;1,22474487139159
"152";"HNRPF_HUMAN";"P52597";"Heterogeneous nuclear ribonucleoprotein F";"HNRNPF";10;8;0,0431034482758621;0,0344827586206897;1,25;1,11803398874989
"153";"HNRPK_HUMAN";"P61978";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";37;27;0,15948275862069;0,116379310344828;1,37037037037037;1,17062819476142
"154";"HNRPL_HUMAN";"P14866";"Heterogeneous nuclear ribonucleoprotein L";"HNRNPL";30;15;0,129310344827586;0,0646551724137931;2;1,4142135623731
"155";"HNRPM_HUMAN";"P52272";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";39;60;0,168103448275862;0,258620689655172;0,65;0,806225774829855
"156";"HNRPQ_HUMAN";"O60506";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";19;7;0,0818965517241379;0,0301724137931034;2,71428571428571;1,64750894209583
"157";"HNRPR_HUMAN";"O43390";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";21;13;0,0905172413793103;0,0560344827586207;1,61538461538462;1,27097781860449
"158";"HNRPU_HUMAN";"Q00839";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";52;1;0,224137931034483;0,00431034482758621;52;7,21110255092798
"159";"HNRPU_HUMAN";"Q00839";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";52;5;0,224137931034483;0,021551724137931;10,4;3,22490309931942
"160";"HORN_HUMAN";"Q86YZ3";"Hornerin";"HRNR";5;25;0,021551724137931;0,107758620689655;0,2;0,447213595499958
"161";"HS90A_HUMAN";"P07900";"Heat shock protein HSP 90-alpha";"HSP90AA1";19;12;0,0818965517241379;0,0517241379310345;1,58333333333333;1,25830573921179
"162";"HS90B_HUMAN";"P08238";"Heat shock protein HSP 90-beta";"HSP90AB1";25;10;0,107758620689655;0,0431034482758621;2,5;1,58113883008419
"163";"HSP7C_HUMAN";"P11142";"Heat shock cognate 71 kDa protein";"HSPA8";65;32;0,280172413793103;0,137931034482759;2,03125;1,42521928137392
"164";"HSPB1_HUMAN";"P04792";"Heat shock protein beta-1";"HSPB1";10;7;0,0431034482758621;0,0301724137931034;1,42857142857143;1,19522860933439
"165";"I2BP2_HUMAN";"Q7Z5L9";"Interferon regulatory factor 2-binding protein 2";"IRF2BP2";2;6;0,00862068965517241;0,0258620689655172;0,333333333333333;0,577350269189626
"166";"IDHP_HUMAN";"P48735";"Isocitrate dehydrogenase [NADP], mitochondrial";"IDH2";14;8;0,0603448275862069;0,0344827586206897;1,75;1,3228756555323
"167";"IF2A_HUMAN";"P05198";"Eukaryotic translation initiation factor 2 subunit 1";"EIF2S1";7;4;0,0301724137931034;0,0172413793103448;1,75;1,3228756555323
"168";"IF2B_HUMAN";"P20042";"Eukaryotic translation initiation factor 2 subunit 2";"EIF2S2";1;2;0,00431034482758621;0,00862068965517241;0,5;0,707106781186548
