"";"AC";"ID";"Description";"Gene";"GSC.pos";"GSC.neg";"GSC.pos.norm";"GSC.neg.norm";"ratio";"sqrt.ratio"
"17";"P09972";"ALDOC_HUMAN";"Fructose-bisphosphate aldolase C";"ALDOC";3;3;0,6;0,6;1;1
"18";"P0C0S5";"H2AV_HUMAN, H2AZ_HUMAN";"Histone H2A.V, Histone H2A.Z";"H2AFV, H2AFZ";6;1;1,2;0,2;6;2,44948974278318
"19";"P10412";"H14_HUMAN";"Histone H1.4";"HIST1H1E";1;2;0,2;0,4;0,5;0,707106781186548
"20";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";53;2;10,6;0,4;26,5;5,1478150704935
"21";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";25;2;5;0,4;12,5;3,53553390593274
"22";"P11142";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";23;3;4,6;0,6;7,66666666666667;2,76887462097269
"23";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";4;1;0,8;0,2;4;2
"24";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";35;3;7;0,6;11,6666666666667;3,41565025531987
"25";"P14618";"KPYM_HUMAN";"Pyruvate kinase PKM";"PKM";54;7;10,8;1,4;7,71428571428572;2,77746029931765
"26";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";42;4;8,4;0,8;10,5;3,24037034920393
"27";"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";5;1;1;0,2;5;2,23606797749979
"28";"P22061";"PIMT_HUMAN";"Protein-L-isoaspartate(D-aspartate) O-methyltransferase";"PCMT1";9;1;1,8;0,2;9;3
"29";"P22626";"ROA2_HUMAN";"Heterogeneous nuclear ribonucleoproteins A2/B1";"HNRNPA2B1";38;7;7,6;1,4;5,42857142857143;2,32992949004287
"30";"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";26;1;5,2;0,2;26;5,09901951359278
"31";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";42;2;8,4;0,4;21;4,58257569495584
"32";"P26038";"MOES_HUMAN";"Moesin";"MSN";58;5;11,6;1;11,6;3,40587727318528
"33";"P27708";"PYR1_HUMAN";"CAD protein";"CAD";7;1;1,4;0,2;7;2,64575131106459
"34";"P30049";"ATPD_HUMAN";"ATP synthase subunit delta, mitochondrial";"ATP5D";2;2;0,4;0,4;1;1
"35";"P30050";"RL12_HUMAN";"60S ribosomal protein L12";"RPL12";17;1;3,4;0,2;17;4,12310562561766
"36";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";14;1;2,8;0,2;14;3,74165738677394
"37";"P39656";"OST48_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit";"DDOST";4;1;0,8;0,2;4;2
"38";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";28;1;5,6;0,2;28;5,29150262212918
"39";"P46777";"RL5_HUMAN";"60S ribosomal protein L5";"RPL5";16;1;3,2;0,2;16;4
"40";"P46782";"RS5_HUMAN";"40S ribosomal protein S5";"RPS5";17;1;3,4;0,2;17;4,12310562561766
"41";"P61247";"RS3A_HUMAN";"40S ribosomal protein S3a";"RPS3A";17;1;3,4;0,2;17;4,12310562561766
"42";"P61604";"CH10_HUMAN";"10 kDa heat shock protein, mitochondrial";"HSPE1";16;1;3,2;0,2;16;4
"43";"P61978";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";31;4;6,2;0,8;7,75;2,78388218141501
"44";"P62753";"RS6_HUMAN";"40S ribosomal protein S6";"RPS6";18;1;3,6;0,2;18;4,24264068711928
"45";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4F,HIST1H4L,HIST1H4H,HIST2H4B,HIST1H4I,HIST1H4B,HIST1H4A,HIST1H4E,HIST4H4,HIST2H4A,HIST1H4C,HIST1H4K,HIST1H4D,HIST1H4J";21;6;4,2;1,2;3,5;1,87082869338697
"46";"P62829";"RL23_HUMAN";"60S ribosomal protein L23";"RPL23";7;1;1,4;0,2;7;2,64575131106459
"47";"P62888";"RL30_HUMAN";"60S ribosomal protein L30";"RPL30";7;2;1,4;0,4;3,5;1,87082869338697
"48";"P62913";"RL11_HUMAN";"60S ribosomal protein L11";"RPL11";13;1;2,6;0,2;13;3,60555127546399
"49";"P62917";"RL8_HUMAN";"60S ribosomal protein L8";"RPL8";16;1;3,2;0,2;16;4
"50";"P63244";"GBLP_HUMAN";"Guanine nucleotide-binding protein subunit beta-2-like 1";"GNB2L1";17;1;3,4;0,2;17;4,12310562561766
"51";"P68104";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";39;6;7,8;1,2;6,5;2,54950975679639
"52";"P68363";"TBA1B_HUMAN";"Tubulin alpha-1B chain";"TUBA1B";2;13;0,4;2,6;0,153846153846154;0,392232270276368
"53";"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";0;2;0;0,4;0;0
"54";"P78371";"TCPB_HUMAN";"T-complex protein 1 subunit beta";"CCT2";24;3;4,8;0,6;8;2,82842712474619
"55";"Q00839";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";32;6;6,4;1,2;5,33333333333333;2,3094010767585
"56";"Q02878";"RL6_HUMAN";"60S ribosomal protein L6";"RPL6";17;1;3,4;0,2;17;4,12310562561766
"57";"Q06830";"PRDX1_HUMAN";"Peroxiredoxin-1";"PRDX1";21;9;4,2;1,8;2,33333333333333;1,52752523165195
"58";"Q07020";"RL18_HUMAN";"60S ribosomal protein L18";"RPL18";15;4;3;0,8;3,75;1,93649167310371
"59";"Q14103";"HNRPD_HUMAN";"Heterogeneous nuclear ribonucleoprotein D0";"HNRNPD";14;1;2,8;0,2;14;3,74165738677394
"60";"Q71DI3";"H32_HUMAN";"Histone H3.2";"HIST2H3D,HIST2H3C,HIST2H3A";3;7;0,6;1,4;0,428571428571429;0,654653670707977
"61";"Q99729";"ROAA_HUMAN";"Heterogeneous nuclear ribonucleoprotein A/B";"HNRNPAB";4;1;0,8;0,2;4;2
"62";"Q9ULV4";"COR1C_HUMAN";"Coronin-1C";"CORO1C";7;1;1,4;0,2;7;2,64575131106459
"63";"Q9UQ80";"PA2G4_HUMAN";"Proliferation-associated protein 2G4";"PA2G4";16;1;3,2;0,2;16;4
