"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5571";"Spectra.Count.P5571";"DNSAF.P5571";"Unspecific.Spectra.Count";"Go.Cc";"matched_mask"
"118";118;"P35232";"P35232";"PHB_HUMAN";"Prohibitin";"PHB";12;25;"0.0151745343316825";12;25;"0.0188371031464562";0;"mitochondrial inner membrane, extracellular vesicular exosome, integral component of plasma membrane, nucleoplasm";FALSE
"128";128;"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";4;10;"0.00488458383221022";4;10;"0.00606354089448058";0;"plasma membrane, mitochondrial matrix, nucleus, mitochondrial inner membrane, extracellular vesicular exosome";FALSE
"135";135;"P49006";"P49006";"MRP_HUMAN";"MARCKS-related protein";"MARCKSL1";2;2;"0.00169332239516621";2;2;"0.0021020275100866";0;"cytoplasm, extracellular vesicular exosome, plasma membrane";FALSE
"136";136;"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";10;15;"9.86254083206126E-4";10;15;"0.00122429917702177";0;"mitochondrion, plasma membrane, Golgi apparatus, glycogen granule, cytosol, extracellular vesicular exosome, melanosome";FALSE
"137";137;"P49368";"P49368-1";"TCPG_HUMAN";"T-complex protein 1 subunit gamma";"CCT3";3;7;"0.00212053676091915";3;7;"0";0;"cytosol, chaperonin-containing T-complex, cell body, microtubule, plasma membrane, extracellular vesicular exosome, zona pellucida receptor complex";FALSE
"144";144;"P50552";"P50552";"VASP_HUMAN";"Vasodilator-stimulated phosphoprotein";"VASP";6;10;"0.0043447087770712";6;10;"0.00539336005877483";0;"tight junction, actin cytoskeleton, plasma membrane, extracellular vesicular exosome, lamellipodium membrane, filopodium membrane, cytosol, focal adhesion";FALSE
"149";149;"P52272";"P52272-1,P52272-2";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";19;35;"0.00395785114623609";19;35;"0";0;"catalytic step 2 spliceosome, nuclear matrix, integral component of plasma membrane, paraspeckles";FALSE
"185";185;"P68104";"P68104,Q5VTE0";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";10;22;"0.0039309269887787";10;22;"0.0048797067198439";0;"extracellular space, eukaryotic translation elongation factor 1 complex, nucleus, cytosol, plasma membrane, extracellular vesicular exosome";FALSE
"187";187;"P68371";"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";2;5;"0.00657215658348619";2;5;"0.00815843101025587";19;"cytosol, extracellular vesicular exosome, nucleus, microtubule, plasma membrane";FALSE
"194";194;"Q00839";"Q00839-1,Q00839-2";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";5;5;"5.00299798571835E-4";5;5;"0";0;"cell surface, catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm";FALSE
"195";195;"Q01518";"Q01518-1,Q01518-2";"CAP1_HUMAN";"Adenylyl cyclase-associated protein 1";"CAP1";6;11;"0.00191167186191133";6;11;"0";0;"cortical actin cytoskeleton, plasma membrane, extracellular vesicular exosome";FALSE
"196";196;"Q01844";"Q01844-1,Q01844-2,Q01844-3,Q01844-5";"EWS_HUMAN";"RNA-binding protein EWS";"EWSR1";2;3;"1.88756402662392E-4";2;3;"0";0;"plasma membrane, nucleus, cytoplasm";FALSE
"208";208;"Q13283";"Q13283";"G3BP1_HUMAN";"Ras GTPase-activating protein-binding protein 1";"G3BP1";4;6;"0.00212573734157132";4;6;"0.00263881135922889";0;"cytoplasm, plasma membrane, cytosol, cytoplasmic stress granule, nucleus";FALSE
"212";212;"Q13885";"Q13885,Q9BVA1";"TBB2A_HUMAN, TBB2B_HUMAN";"Tubulin beta-2A chain, Tubulin beta-2B chain";"TUBB2A, TUBB2B";0;0;"0";0;0;"0";19;"microtubule, extracellular vesicular exosome, cytoplasm, plasma membrane";FALSE
"216";216;"Q14444";"Q14444-1,Q14444-2";"CAPR1_HUMAN";"Caprin-1";"CAPRIN1";2;5;"5.8215420849332E-4";2;5;"0";0;"cytosol, cytoplasmic mRNA processing body, dendrite, cytoplasmic stress granule, integral component of plasma membrane";FALSE
"231";231;"Q7Z2W4";"Q7Z2W4-1,Q7Z2W4-2,Q7Z2W4-3";"ZCCHV_HUMAN";"Zinc finger CCCH-type antiviral protein 1";"ZC3HAV1";2;2;"1.22024341115082E-4";2;2;"0";0;"nucleus, plasma membrane, Golgi apparatus, cytoplasm";FALSE
"236";236;"Q8NC51";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";12;21;"0.00212443480643555";12;21;"0";0;"nucleus, extracellular vesicular exosome, cytoplasm, perinuclear region of cytoplasm, plasma membrane";FALSE
"242";242;"Q95604";"Q95604";"1C17_HUMAN";"HLA class I histocompatibility antigen, Cw-17 alpha chain";"HLA-C";1;1;"7.39690562404595E-4";1;1;"9.18224382766325E-4";2;"MHC class I protein complex, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, cell surface";FALSE
"248";248;"Q99653";"Q99653";"CHP1_HUMAN";"Calcineurin B homologous protein 1";"CHP1";3;3;"0.00253998359274932";3;3;"0.0031530412651299";0;"endoplasmic reticulum-Golgi intermediate compartment, transport vesicle, plasma membrane, endoplasmic reticulum, cytosol, microtubule cytoskeleton, Golgi membrane, nucleus, extracellular vesicular exosome";FALSE
"252";252;"Q9BUF5";"Q9BUF5";"TBB6_HUMAN";"Tubulin beta-6 chain";"TUBB6";2;3;"0.00229509728223761";2;3;"0.00284904849741559";6;"plasma membrane, extracellular vesicular exosome, cytoplasm, microtubule";FALSE
"264";264;"Q9UJZ1";"Q9UJZ1";"STML2_HUMAN";"Stomatin-like protein 2";"STOML2";6;9;"0.00417384944314143";6;9;"0.00518126162949717";0;"mitochondrial intermembrane space, cytoskeleton, extrinsic component of plasma membrane, mitochondrial inner membrane, membrane raft";FALSE
"270";270;"Q9Y490";"Q9Y490";"TLN1_HUMAN";"Talin-1";"TLN1";5;7;"4.54817998701668E-4";5;7;"5.64594165932352E-4";0;"cytosol, actin cytoskeleton, ruffle, intracellular membrane-bounded organelle, centrosome, focal adhesion, cell-cell junction, extracellular vesicular exosome, plasma membrane, cell surface, ruffle membrane";FALSE
