"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5571";"Spectra.Count.P5571";"DNSAF.P5571";"Unspecific.Spectra.Count";"Go.Cc";"matched_mask";"norm.sc"
"153";153;"P55084";"P55084";"ECHB_HUMAN";"Trifunctional enzyme subunit beta, mitochondrial";"HADHB";7;14;"0.00487633980886472";7;14;"0.0060533070701861";0;"mitochondrial outer membrane, endoplasmic reticulum, mitochondrial inner membrane, mitochondrial nucleoid, mitochondrial fatty acid beta-oxidation multienzyme complex";FALSE;0,00682926829268293
"156";156;"P57737";"P57737-1,P57737-2";"CORO7_HUMAN";"Coronin-7";"CORO7";2;2;"1.78485333544547E-4";2;2;"0";0;"Golgi apparatus, cytosol, cytoplasmic membrane-bounded vesicle, Golgi membrane, integral component of membrane";FALSE;0,000975609756097561
"198";198;"Q03252";"Q03252";"LMNB2_HUMAN";"Lamin-B2";"LMNB2";11;19;"0.00522813289507568";11;19;"0.00649000993739239";0;"nuclear inner membrane, intermediate filament";FALSE;0,00926829268292683
"201";201;"Q07666";"Q07666-1,Q07666-2";"KHDR1_HUMAN";"KH domain-containing, RNA-binding, signal transduction-associated protein 1";"KHDRBS1";3;3;"5.59025734295843E-4";3;3;"0";0;"cytoplasm, Grb2-Sos complex, membrane, nucleus";FALSE;0,00146341463414634
"203";203;"Q12931";"Q12931";"TRAP1_HUMAN";"Heat shock protein 75 kDa, mitochondrial";"TRAP1";2;2;"4.99291129623101E-4";2;2;"6.19801458367269E-4";2;"mitochondrial inner membrane, mitochondrial matrix";FALSE;0,000975609756097561
"205";205;"Q13185";"Q13185";"CBX3_HUMAN";"Chromobox protein homolog 3";"CBX3";4;7;"0.00631525975246415";4;7;"0.00783952882860167";0;"nuclear inner membrane, spindle, nuclear euchromatin, nuclear centromeric heterochromatin, condensed chromosome, centromeric region";FALSE;0,00341463414634146
"228";228;"Q16891";"Q16891-1,Q16891-2";"IMMT_HUMAN";"Mitochondrial inner membrane protein";"IMMT";13;21;"0.0022869905040256";13;21;"0";0;"integral component of membrane, mitochondrial inner membrane";FALSE;0,0102439024390244
"244";244;"Q96HS1";"Q96HS1-1,Q96HS1-2";"PGAM5_HUMAN";"Serine/threonine-protein phosphatase PGAM5, mitochondrial";"PGAM5";2;4;"0.00114255317320903";2;4;"0";0;"integral component of membrane, mitochondrial outer membrane";FALSE;0,00195121951219512
"247";247;"Q99623";"Q99623";"PHB2_HUMAN";"Prohibitin-2";"PHB2";14;30;"0.0165651103874955";14;30;"0.0205633125986733";0;"protein complex, mitochondrial inner membrane, nuclear matrix";FALSE;0,0146341463414634
"251";251;"Q9BU61";"Q9BU61-1";"NDUF3_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3";"NDUFAF3";2;2;"0.00179455362531202";2;2;"0";0;"nucleus, mitochondrial inner membrane";FALSE;0,000975609756097561
"256";256;"Q9H9B4";"Q9H9B4";"SFXN1_HUMAN";"Sideroflexin-1";"SFXN1";3;3;"0.00153818882169601";3;3;"0.00190945045559109";0;"mitochondrial inner membrane, integral component of membrane, mitochondrion";FALSE;0,00146341463414634
"259";259;"Q9NVI7";"Q9NVI7-2";"ATD3A_HUMAN";"ATPase family AAA domain-containing protein 3A";"ATAD3A";7;8;"0.00208326730004676";7;8;"0";0;"mitochondrial nucleoid, integral component of membrane, mitochondrion, mitochondrial inner membrane";FALSE;0,00390243902439024
"261";261;"Q9P0J0";"Q9P0J0";"NDUAD_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13";"NDUFA13";2;4;"0.00458608148690849";2;4;"0.00569299117315121";0;"nucleoplasm, integral component of membrane, mitochondrial respiratory chain complex I";FALSE;0,00195121951219512
