"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768";"Go.Cc";"norm.sc"
"146";146;"P22695";"P22695";"P22695";"QCR2_HUMAN";"Cytochrome b-c1 complex subunit 2, mitochondrial";"UQCRC2";4;6;0,000783901933566123;4;NA;6;NA;0,00187733524456291;NA;"mitochondrial respiratory chain complex III, mitochondrial inner membrane";0,000882742386346918
"168";168;"P27824";"P27824";"P27824";"CALX_HUMAN";"Calnexin";"CANX";8;19;0,00189950561435913;7;3;14;5;0,00335193134037668;0,00120270468168111;"melanosome, endoplasmic reticulum lumen, dendritic spine, protein complex, neuronal cell body, ribosome, dendrite cytoplasm, integral component of lumenal side of endoplasmic reticulum membrane, axon";0,00279535089009857
"202";202;"P37268";"P37268";"P37268";"FDFT_HUMAN";"Squalene synthase";"FDFT1";1;1;0,000141929486772763;NA;1;NA;1;NA;0,000341487372448545;"endoplasmic reticulum membrane, integral component of membrane";0,00014712373105782
"211";211;"P40939";"P40939";"P40939";"ECHA_HUMAN";"Trifunctional enzyme subunit alpha, mitochondrial";"HADHA";3;6;0,000465409666979625;1;3;1;5;0,000185765151984928;0,00093316011999373;"nucleolus, mitochondrial nucleoid, mitochondrial inner membrane, mitochondrial fatty acid beta-oxidation multienzyme complex";0,000882742386346918
"215";215;"P42166";"P42166-1";"P42166-1";"LAP2A_HUMAN";"Lamina-associated polypeptide 2, isoform alpha";"TMPO";1;1;0,000284267992239396;0;1;0;1;NA;NA;"nuclear inner membrane, chromatin, nuclear envelope";0,00014712373105782
"216";216;"P42167";"P42167-1";"P42167-1";"LAP2B_HUMAN";"Lamina-associated polypeptide 2, isoforms beta/gamma";"TMPO";3;8;0,00347633456588795;3;2;5;3;NA;NA;"nuclear inner membrane, nuclear envelope, integral component of membrane";0,00117698984846256
"218";218;"P42704";"P42704";"P42704";"LPPRC_HUMAN";"Leucine-rich PPR motif-containing protein, mitochondrial";"LRPPRC";2;4;0,000169826674273292;2;2;2;2;0,000203355539403873;0,000204304496859459;"perinuclear region of cytoplasm, nucleoplasm, microtubule, condensed nuclear chromosome, nuclear inner membrane, nuclear outer membrane, ribonucleoprotein complex, mitochondrial nucleoid";0,000588494924231278
"219";219;"P42765";"P42765";"P42765";"THIM_HUMAN";"3-ketoacyl-CoA thiolase, mitochondrial";"ACAA2";3;4;0,000596318347448285;NA;3;NA;4;NA;0,00143476306610623;"mitochondrial inner membrane, mitochondrion";0,000588494924231278
"221";221;"P45880";"P45880-1,P45880-2,P45880-3";"P45880-1,P45880-2,P45880-3";"VDAC2_HUMAN";"Voltage-dependent anion-selective channel protein 2";"VDAC2";4;8;0,000536821732283377;2;4;2;6;NA;NA;"mitochondrial inner membrane, mitochondrial outer membrane, mitochondrial nucleoid, pore complex";0,00117698984846256
"232";232;"P48735";"P48735";"P48735";"IDHP_HUMAN";"Isocitrate dehydrogenase [NADP], mitochondrial";"IDH2";5;12;0,00157127245975865;4;4;5;7;0,00156790720093473;0,00220531336322412;"mitochondrial matrix, mitochondrial inner membrane";0,00176548477269384
"245";245;"P51659";"P51659";"P51659";"DHB4_HUMAN";"Peroxisomal multifunctional enzyme type 2";"HSD17B4";2;2;0,000160827706478919;NA;2;NA;2;NA;0,000386957158453922;"peroxisomal membrane, mitochondrion, peroxisomal matrix";0,000294247462115639
"255";255;"P55084";"P55084";"P55084";"ECHB_HUMAN";"Trifunctional enzyme subunit beta, mitochondrial";"HADHB";1;1;0,000124862016844393;NA;1;NA;1;NA;0,000300422435255365;"mitochondrial outer membrane, endoplasmic reticulum, mitochondrial inner membrane, mitochondrial nucleoid, mitochondrial fatty acid beta-oxidation multienzyme complex";0,00014712373105782
"257";257;"P55957";"P55957-1,P55957-2";"P55957-1,P55957-2";"BID_HUMAN";"BH3-interacting domain death agonist";"BID";1;1;0,00015175537431857;NA;1;NA;1;NA;NA;"integral component of mitochondrial membrane, mitochondrial outer membrane, cytosol";0,00014712373105782
"258";258;"P57737";"P57737-1,P57737-2";"P57737-1,P57737-2";"CORO7_HUMAN";"Coronin-7";"CORO7";3;3;9,59750205149875e-05;3;NA;3;NA;NA;NA;"Golgi apparatus, cytosol, cytoplasmic membrane-bounded vesicle, Golgi membrane, integral component of membrane";0,000441371193173459
"288";288;"P62424";"P62424";"P62424";"RL7A_HUMAN";"60S ribosomal protein L7a";"RPL7A";10;23;0,00511746506630666;5;8;8;15;0,00426282138239097;0,00803008840099867;"polysomal ribosome, membrane, cytosolic large ribosomal subunit";0,00338384581432985
"308";308;"P62942";"P62942";"P62942";"FKB1A_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP1A";"FKBP1A";1;2;0,00109601103674523;1;NA;2;NA;0,00262479279563888;NA;"axon terminus, Z disc, cytosol, axon, terminal cisterna, sarcoplasmic reticulum membrane";0,000294247462115639
"312";312;"P63241";"P63241-1,P63241-2";"P63241-1,P63241-2";"IF5A1_HUMAN";"Eukaryotic translation initiation factor 5A-1";"EIF5A";5;9;0,00172942001252656;5;2;7;2;NA;NA;"annulate lamellae, nuclear pore, endoplasmic reticulum membrane, cytosol";0,00132411357952038
"332";332;"Q00688";"Q00688";"Q00688";"FKBP3_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP3";"FKBP3";2;2;0,000528433892716449;2;NA;2;NA;0,00126552509789732;NA;"nucleus, membrane";0,000294247462115639
"357";357;"Q13423";"Q13423";"Q13423";"NNTM_HUMAN";"NAD(P) transhydrogenase, mitochondrial";"NNT";4;6;0,000326986718144985;2;2;2;4;0,000261029117798342;0,000524494417351909;"mitochondrial respiratory chain, integral component of membrane";0,000882742386346918
"363";363;"Q14061";"Q14061";"Q14061";"COX17_HUMAN";"Cytochrome c oxidase copper chaperone";"COX17";1;1;0,00093943803149591;NA;1;NA;1;NA;0,00226032117954037;"cytoplasm, mitochondrial intermembrane space";0,00014712373105782
"372";372;"Q14739";"Q14739";"Q14739";"LBR_HUMAN";"Lamin-B receptor";"LBR";4;4;0,000384940461686129;4;NA;4;NA;0,000921878445297559;NA;"integral component of nuclear inner membrane, mitochondrion";0,000588494924231278
"382";382;"Q15643";"Q15643";"Q15643";"TRIPB_HUMAN";"Thyroid receptor-interacting protein 11";"TRIP11";2;2;5,98126285843783e-05;2;NA;2;NA;0,000143242861005053;NA;"Golgi apparatus, cytoskeleton, membrane, nucleus";0,000294247462115639
"388";388;"Q16891";"Q16891-1,Q16891-2,Q16891-3";"Q16891-1,Q16891-2,Q16891-3";"IMMT_HUMAN";"Mitochondrial inner membrane protein";"IMMT";4;5;0,000130133236552863;2;3;2;3;NA;NA;"integral component of membrane, mitochondrial inner membrane";0,000735618655289098
"417";417;"Q92974";"Q92974-1,Q92974-2,Q92974-3";"Q92974-1,Q92974-2,Q92974-3";"ARHG2_HUMAN";"Rho guanine nucleotide exchange factor 2";"ARHGEF2";2;2;4,00166301448562e-05;2;NA;2;NA;NA;NA;"ruffle membrane, microtubule, neuronal cell body, cytosol, vesicle, spindle, tight junction, Golgi apparatus, cytoplasmic membrane-bounded vesicle, dendritic shaft";0,000294247462115639
"421";421;"Q96IX5";"Q96IX5";"Q96IX5";"USMG5_HUMAN";"Up-regulated during skeletal muscle growth protein 5";"USMG5";1;2;0,00204084813738767;1;1;1;1;0,0024437726028362;0,00245517645363868;"integral component of membrane, mitochondrial proton-transporting ATP synthase complex";0,000294247462115639
"423";423;"Q96RQ3";"Q96RQ3";"Q96RQ3";"MCCA_HUMAN";"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial";"MCCC1";30;197;0,0160818833226148;28;27;89;108;0,0173996609321938;0,0212127245594382;"cytosol, mitochondrial inner membrane, mitochondrial matrix";0,0289833750183905
"426";426;"Q99623";"Q99623";"Q99623";"PHB2_HUMAN";"Prohibitin-2";"PHB2";8;21;0,00415677764437822;6;7;11;10;0,00521447130638628;0,0047625496425098;"protein complex, mitochondrial inner membrane, nuclear matrix";0,00308959835221421
"447";447;"Q9P035";"Q9P035";"Q9P035";"HACD3_HUMAN";"Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 3";"PTPLAD1";1;1;0,000163493359072493;NA;1;NA;1;NA;0,000393370813013931;"integral component of membrane, endoplasmic reticulum membrane";0,00014712373105782
"449";449;"Q9P2E9";"Q9P2E9-1,Q9P2E9-2";"Q9P2E9-1,Q9P2E9-2";"RRBP1_HUMAN";"Ribosome-binding protein 1";"RRBP1";6;9;0,000188887008460348;3;5;3;6;NA;NA;"ribosome, integral component of endoplasmic reticulum membrane, endoplasmic reticulum";0,00132411357952038
"458";458;"Q9Y5M8";"Q9Y5M8";"Q9Y5M8";"SRPRB_HUMAN";"Signal recognition particle receptor subunit beta";"SRPRB";2;2;0,00043678668623057;NA;2;NA;2;NA;0,00105092423845788;"endoplasmic reticulum membrane, cytoplasmic microtubule, integral component of membrane";0,000294247462115639
