"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5744.3.id.csv";"peptide.count.P5744.4.id.csv";"spectra.count.P5744.3.id.csv";"spectra.count.P5744.4.id.csv";"dNSAF.P5744.3.id.csv";"dNSAF.P5744.4.id.csv";"Go.Cc"
"34";34;"P0CG47";"P0CG47,P0CG48,P62979,P62987";"P0CG47,P0CG48,P62979,P62987";"RL40_HUMAN, RS27A_HUMAN, UBB_HUMAN, UBC_HUMAN";"Polyubiquitin-B, Polyubiquitin-C, Ubiquitin-40S ribosomal protein S27a, Ubiquitin-60S ribosomal protein L40";"RPS27A, UBA52, UBB, UBC";4;8;0,00149433508420614;4;4;4;4;0,00160782384571354;0,0015746921913679;"cytosol, nucleoplasm, endocytic vesicle membrane, endosome membrane, plasma membrane"
"35";35;"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";2;3;0,00131978382027446;1;2;1;2;0,000981739534742521;0,00180282993621822;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus"
"36";36;"P11142";"P11142-1";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";7;10;0,00508358423689542;4;6;4;6;NA;NA;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle"
"38";38;"P12273";"P12273";"P12273";"PIP_HUMAN";"Prolactin-inducible protein";"PIP";2;2;0,00306543395698451;2;NA;2;NA;0,0065964827642631;NA;"extracellular vesicular exosome, apical plasma membrane, extracellular space"
"42";42;"P13647";"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";21;55;0,0305942063174457;19;20;28;27;0,0329257383374386;0,0322702336361928;"keratin filament, cytosol, plasma membrane, extracellular vesicular exosome, mitochondrion"
"43";43;"P14618";"P14618-1,P14618-2";"P14618-1,P14618-2";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";3;3;0,000632137510903585;NA;3;NA;3;NA;NA;"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium"
"44";44;"P14923";"P14923";"P14923";"PLAK_HUMAN";"Junction plakoglobin";"JUP";8;13;0,00390482795325946;6;6;6;7;0,00387820060502985;0,00443133178416484;"cytosol, gamma-catenin-TCF7L2 complex, cytoplasmic side of plasma membrane, intermediate filament, fascia adherens, apicolateral plasma membrane, actin cytoskeleton, lateral plasma membrane, extracellular vesicular exosome, zonula adherens, desmosome, protein-DNA complex, catenin complex, basolateral plasma membrane, Z disc"
"45";45;"P15924";"P15924-1";"P15924-1";"DESP_HUMAN";"Desmoplakin";"DSP";33;49;0,00381924669597129;21;27;21;28;NA;NA;"desmosome, plasma membrane, fascia adherens, extracellular vesicular exosome, mitochondrion, cornified envelope, intercalated disc, intermediate filament, basolateral plasma membrane"
"55";55;"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";8;10;0,00404659455442801;5;5;5;5;0,00435391719521887;0,00426419811315268;"mitochondrial matrix, plasma membrane, mitochondrial proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, catalytic core F(1), extracellular vesicular exosome"
"77";77;"P68104";"P68104,Q5VTE0";"P68104,Q5VTE0";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";9;15;0,00363273829317969;9;5;10;5;0,00521150694579228;0,00255205796165956;"extracellular space, eukaryotic translation elongation factor 1 complex, nucleus, cytosol, plasma membrane, extracellular vesicular exosome"
"80";80;"P68371";"P68371";"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";1;2;0,00402295153006506;1;1;1;1;0,00432847857789849;0,00423928369721067;"cytosol, extracellular vesicular exosome, nucleus, microtubule, plasma membrane"
"85";85;"Q00839";"Q00839-1,Q00839-2";"Q00839-1,Q00839-2";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";3;3;0,000406866688836125;NA;3;NA;3;NA;NA;"cell surface, catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm"
"87";87;"Q02413";"Q02413";"Q02413";"DSG1_HUMAN";"Desmoglein-1";"DSG1";14;23;0,00490644767757577;10;10;12;11;0,00550859761820255;0,00494549420825696;"apical plasma membrane, cytoplasmic side of plasma membrane, cytosol, integral component of membrane, desmosome, lateral plasma membrane"
"92";92;"Q08188";"Q08188";"Q08188";"TGM3_HUMAN";"Protein-glutamine gamma-glutamyltransferase E";"TGM3";5;10;0,00322910070504861;5;4;6;4;0,00416920555663382;0,00272219515910353;"cytoplasm, extracellular vesicular exosome, extrinsic component of cytoplasmic side of plasma membrane"
"93";93;"Q08554";"Q08554-1,Q08554-2";"Q08554-1,Q08554-2";"DSC1_HUMAN";"Desmocollin-1";"DSC1";6;14;0,00175216638928309;5;6;6;8;NA;NA;"integral component of membrane, membrane, gap junction, plasma membrane, desmosome"
"95";95;"Q13835";"Q13835-1,Q13835-2";"Q13835-1,Q13835-2";"PKP1_HUMAN";"Plakophilin-1";"PKP1";2;3;0,000449350760762789;1;2;1;2;NA;NA;"plasma membrane, nucleus, desmosome, intermediate filament"
"112";112;"Q8NC51";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";3;3;0,000411354189080642;3;NA;3;NA;NA;NA;"nucleus, extracellular vesicular exosome, cytoplasm, perinuclear region of cytoplasm, plasma membrane"
