Accession	Gene name	GO ID (C)	GO name (C)	Entry name
Q8IVC4	ZNF584	GO:0005634	nucleus	ZN584_HUMAN
Q8IXS8	FAM126B	GO:0005622	intracellular	F126B_HUMAN
Q7Z6L0	PRRT2	GO:0045202	synapse	PRRT2_HUMAN
Q7Z6L0	PRRT2	GO:0030054	cell junction	PRRT2_HUMAN
Q7Z6L0	PRRT2	GO:0016021	integral to membrane	PRRT2_HUMAN
Q7Z6L0	PRRT2	GO:0005886	plasma membrane	PRRT2_HUMAN
Q8IU89	CERS3	GO:0016021	integral to membrane	CERS3_HUMAN
Q8IU89	CERS3	GO:0031965	nuclear membrane	CERS3_HUMAN
Q8IU89	CERS3	GO:0005789	endoplasmic reticulum membrane	CERS3_HUMAN
Q8IY92	SLX4	GO:0033557	Slx1-Slx4 complex	SLX4_HUMAN
Q7RTV2	GSTA5	GO:0005737	cytoplasm	GSTA5_HUMAN
Q03164	KMT2A	GO:0071339	MLL1 complex	KMT2A_HUMAN
P01583	IL1A	GO:0005829	cytosol	IL1A_HUMAN
P01583	IL1A	GO:0005615	extracellular space	IL1A_HUMAN
P80217	IFI35	GO:0005634	nucleus	IN35_HUMAN
P80217	IFI35	GO:0005829	cytosol	IN35_HUMAN
P12814	ACTN1	GO:0005634	nucleus	ACTN1_HUMAN
P12814	ACTN1	GO:0005916	fascia adherens	ACTN1_HUMAN
P12814	ACTN1	GO:0005886	plasma membrane	ACTN1_HUMAN
P12814	ACTN1	GO:0031093	platelet alpha granule lumen	ACTN1_HUMAN
P12814	ACTN1	GO:0030018	Z disc	ACTN1_HUMAN
P12814	ACTN1	GO:0043197	dendritic spine	ACTN1_HUMAN
P12814	ACTN1	GO:0005829	cytosol	ACTN1_HUMAN
P12814	ACTN1	GO:0031143	pseudopodium	ACTN1_HUMAN
P12814	ACTN1	GO:0070062	extracellular vesicular exosome	ACTN1_HUMAN
P12814	ACTN1	GO:0005925	focal adhesion	ACTN1_HUMAN
P12814	ACTN1	GO:0001726	ruffle	ACTN1_HUMAN
P12814	ACTN1	GO:0005856	cytoskeleton	ACTN1_HUMAN
Q9UKF5	ADAM29	GO:0005887	integral to plasma membrane	ADA29_HUMAN
O75478	TADA2A	GO:0000125	PCAF complex	TAD2A_HUMAN
O75478	TADA2A	GO:0072686	mitotic spindle	TAD2A_HUMAN
O75478	TADA2A	GO:0005694	chromosome	TAD2A_HUMAN
O75478	TADA2A	GO:0005671	Ada2/Gcn5/Ada3 transcription activator complex	TAD2A_HUMAN
Q95365	HLA-B	GO:0000139	Golgi membrane	1B38_HUMAN
Q95365	HLA-B	GO:0031901	early endosome membrane	1B38_HUMAN
Q95365	HLA-B	GO:0005886	plasma membrane	1B38_HUMAN
Q95365	HLA-B	GO:0012507	ER to Golgi transport vesicle membrane	1B38_HUMAN
Q95365	HLA-B	GO:0042612	MHC class I protein complex	1B38_HUMAN
Q95365	HLA-B	GO:0071556	integral to lumenal side of endoplasmic reticulum membrane	1B38_HUMAN
Q95365	HLA-B	GO:0030670	phagocytic vesicle membrane	1B38_HUMAN
Q14155	ARHGEF7	GO:0043005	neuron projection	ARHG7_HUMAN
Q14155	ARHGEF7	GO:0030027	lamellipodium	ARHG7_HUMAN
Q14155	ARHGEF7	GO:0001726	ruffle	ARHG7_HUMAN
Q14155	ARHGEF7	GO:0043025	neuronal cell body	ARHG7_HUMAN
Q14155	ARHGEF7	GO:0005829	cytosol	ARHG7_HUMAN
Q14155	ARHGEF7	GO:0005938	cell cortex	ARHG7_HUMAN
Q14155	ARHGEF7	GO:0043234	protein complex	ARHG7_HUMAN
Q14155	ARHGEF7	GO:0005925	focal adhesion	ARHG7_HUMAN
P40616	ARL1	GO:0005794	Golgi apparatus	ARL1_HUMAN
P40616	ARL1	GO:0000139	Golgi membrane	ARL1_HUMAN
P40616	ARL1	GO:0005802	trans-Golgi network	ARL1_HUMAN
Q9UKA4	AKAP11	GO:0005730	nucleolus	AKA11_HUMAN
Q9UKA4	AKAP11	GO:0005737	cytoplasm	AKA11_HUMAN
Q9UKA4	AKAP11	GO:0005886	plasma membrane	AKA11_HUMAN
Q9UKA4	AKAP11	GO:0005815	microtubule organizing center	AKA11_HUMAN
Q13705	ACVR2B	GO:0005737	cytoplasm	AVR2B_HUMAN
Q13705	ACVR2B	GO:0009986	cell surface	AVR2B_HUMAN
Q13705	ACVR2B	GO:0005887	integral to plasma membrane	AVR2B_HUMAN
Q99728	BARD1	GO:0031436	BRCA1-BARD1 complex	BARD1_HUMAN
Q99728	BARD1	GO:0070531	BRCA1-A complex	BARD1_HUMAN
Q99728	BARD1	GO:0005737	cytoplasm	BARD1_HUMAN
P51884	LUM	GO:0005796	Golgi lumen	LUM_HUMAN
P51884	LUM	GO:0043202	lysosomal lumen	LUM_HUMAN
P51884	LUM	GO:0005583	fibrillar collagen	LUM_HUMAN
P51884	LUM	GO:0005615	extracellular space	LUM_HUMAN
P50895	BCAM	GO:0005887	integral to plasma membrane	BCAM_HUMAN
P50895	BCAM	GO:0009897	external side of plasma membrane	BCAM_HUMAN
Q9Y3A6	TMED5	GO:0005789	endoplasmic reticulum membrane	TMED5_HUMAN
Q9Y3A6	TMED5	GO:0016021	integral to membrane	TMED5_HUMAN
Q9Y3A6	TMED5	GO:0070971	endoplasmic reticulum exit site	TMED5_HUMAN
Q9Y3A6	TMED5	GO:0005794	Golgi apparatus	TMED5_HUMAN
Q9Y3A6	TMED5	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	TMED5_HUMAN
Q9Y3A6	TMED5	GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	TMED5_HUMAN
Q9Y3A6	TMED5	GO:0005801	cis-Golgi network	TMED5_HUMAN
Q14055	COL9A2	GO:0005788	endoplasmic reticulum lumen	CO9A2_HUMAN
Q14055	COL9A2	GO:0005594	collagen type IX	CO9A2_HUMAN
Q8N1Q1	CA13	GO:0005829	cytosol	CAH13_HUMAN
Q96NY7	CLIC6	GO:0005737	cytoplasm	CLIC6_HUMAN
Q96NY7	CLIC6	GO:0034707	chloride channel complex	CLIC6_HUMAN
Q96NY7	CLIC6	GO:0005886	plasma membrane	CLIC6_HUMAN
Q9H4G1	CST9L	GO:0005576	extracellular region	CST9L_HUMAN
Q9H972	C14orf93	GO:0005576	extracellular region	CN093_HUMAN
O60931	CTNS	GO:0005886	plasma membrane	CTNS_HUMAN
O60931	CTNS	GO:0016021	integral to membrane	CTNS_HUMAN
O60931	CTNS	GO:0005764	lysosome	CTNS_HUMAN
O60931	CTNS	GO:0005770	late endosome	CTNS_HUMAN
O60931	CTNS	GO:0005765	lysosomal membrane	CTNS_HUMAN
Q9GZP1	NRSN2	GO:0016021	integral to membrane	NRSN2_HUMAN
Q9GZP1	NRSN2	GO:0043025	neuronal cell body	NRSN2_HUMAN
Q9GZP1	NRSN2	GO:0005886	plasma membrane	NRSN2_HUMAN
Q9GZP1	NRSN2	GO:0030133	transport vesicle	NRSN2_HUMAN
Q9UHI6	DDX20	GO:0005654	nucleoplasm	DDX20_HUMAN
Q9UHI6	DDX20	GO:0017053	transcriptional repressor complex	DDX20_HUMAN
Q9UHI6	DDX20	GO:0005856	cytoskeleton	DDX20_HUMAN
Q9UHI6	DDX20	GO:0005829	cytosol	DDX20_HUMAN
Q9UHI6	DDX20	GO:0097504	Gemini of coiled bodies	DDX20_HUMAN
Q9UHI6	DDX20	GO:0005681	spliceosomal complex	DDX20_HUMAN
Q86YI8	PHF13	GO:0005634	nucleus	PHF13_HUMAN
Q86YI8	PHF13	GO:0005654	nucleoplasm	PHF13_HUMAN
Q8TDM6	DLG5	GO:0005737	cytoplasm	DLG5_HUMAN
Q8TDM6	DLG5	GO:0005913	cell-cell adherens junction	DLG5_HUMAN
Q8TDM6	DLG5	GO:0005886	plasma membrane	DLG5_HUMAN
O75618	DEDD	GO:0005737	cytoplasm	DEDD_HUMAN
O75618	DEDD	GO:0005730	nucleolus	DEDD_HUMAN
O00273	DFFA	GO:0000790	nuclear chromatin	DFFA_HUMAN
O00273	DFFA	GO:0005654	nucleoplasm	DFFA_HUMAN
O00273	DFFA	GO:0005829	cytosol	DFFA_HUMAN
P02810	PRH2	GO:0005615	extracellular space	PRPC_HUMAN
O43731	KDELR3	GO:0005789	endoplasmic reticulum membrane	ERD23_HUMAN
O43731	KDELR3	GO:0016021	integral to membrane	ERD23_HUMAN
Q9Y613	FHOD1	GO:0032059	bleb	FHOD1_HUMAN
Q9Y613	FHOD1	GO:0005634	nucleus	FHOD1_HUMAN
Q9Y613	FHOD1	GO:0005856	cytoskeleton	FHOD1_HUMAN
Q9Y613	FHOD1	GO:0005737	cytoplasm	FHOD1_HUMAN
O43237	DYNC1LI2	GO:0005874	microtubule	DC1L2_HUMAN
O43237	DYNC1LI2	GO:0005813	centrosome	DC1L2_HUMAN
O43237	DYNC1LI2	GO:0005829	cytosol	DC1L2_HUMAN
O43237	DYNC1LI2	GO:0005868	cytoplasmic dynein complex	DC1L2_HUMAN
O75461	E2F6	GO:0071339	MLL1 complex	E2F6_HUMAN
O75461	E2F6	GO:0005667	transcription factor complex	E2F6_HUMAN
P04406	GAPDH	GO:0005886	plasma membrane	G3P_HUMAN
P04406	GAPDH	GO:0070062	extracellular vesicular exosome	G3P_HUMAN
P04406	GAPDH	GO:0005829	cytosol	G3P_HUMAN
P04406	GAPDH	GO:0005811	lipid particle	G3P_HUMAN
P04406	GAPDH	GO:0005634	nucleus	G3P_HUMAN
P04406	GAPDH	GO:0048471	perinuclear region of cytoplasm	G3P_HUMAN
P04406	GAPDH	GO:0015630	microtubule cytoskeleton	G3P_HUMAN
P04406	GAPDH	GO:0030529	ribonucleoprotein complex	G3P_HUMAN
P24046	GABRR1	GO:0045211	postsynaptic membrane	GBRR1_HUMAN
P24046	GABRR1	GO:0034707	chloride channel complex	GBRR1_HUMAN
P24046	GABRR1	GO:0005887	integral to plasma membrane	GBRR1_HUMAN
P24046	GABRR1	GO:0030054	cell junction	GBRR1_HUMAN
P32239	CCKBR	GO:0005887	integral to plasma membrane	GASR_HUMAN
Q9UJU5	FOXD3	GO:0005667	transcription factor complex	FOXD3_HUMAN
Q9UJU5	FOXD3	GO:0000790	nuclear chromatin	FOXD3_HUMAN
Q99878	HIST1H2AJ	GO:0000786	nucleosome	H2A1J_HUMAN
Q99878	HIST1H2AJ	GO:0005634	nucleus	H2A1J_HUMAN
Q96S53	TESK2	GO:0005737	cytoplasm	TESK2_HUMAN
Q96S53	TESK2	GO:0005634	nucleus	TESK2_HUMAN
P02786	TFRC	GO:0005768	endosome	TFR1_HUMAN
P02786	TFRC	GO:0042470	melanosome	TFR1_HUMAN
P02786	TFRC	GO:0048471	perinuclear region of cytoplasm	TFR1_HUMAN
P02786	TFRC	GO:0005887	integral to plasma membrane	TFR1_HUMAN
P02786	TFRC	GO:0005576	extracellular region	TFR1_HUMAN
P02786	TFRC	GO:0005905	coated pit	TFR1_HUMAN
P02786	TFRC	GO:0016023	cytoplasmic membrane-bounded vesicle	TFR1_HUMAN
P02786	TFRC	GO:0070062	extracellular vesicular exosome	TFR1_HUMAN
P02786	TFRC	GO:0009897	external side of plasma membrane	TFR1_HUMAN
Q9NYL9	TMOD3	GO:0005865	striated muscle thin filament	TMOD3_HUMAN
Q9BZJ3	TPSD1	GO:0005576	extracellular region	TRYD_HUMAN
P47901	AVPR1B	GO:0005887	integral to plasma membrane	V1BR_HUMAN
P47901	AVPR1B	GO:0005768	endosome	V1BR_HUMAN
O95847	SLC25A27	GO:0043025	neuronal cell body	UCP4_HUMAN
O95847	SLC25A27	GO:0045177	apical part of cell	UCP4_HUMAN
O95847	SLC25A27	GO:0005743	mitochondrial inner membrane	UCP4_HUMAN
O95847	SLC25A27	GO:0016021	integral to membrane	UCP4_HUMAN
P38435	GGCX	GO:0005789	endoplasmic reticulum membrane	VKGC_HUMAN
P38435	GGCX	GO:0016021	integral to membrane	VKGC_HUMAN
Q9NY84	VNN3	GO:0005886	plasma membrane	VNN3_HUMAN
Q9NY84	VNN3	GO:0005615	extracellular space	VNN3_HUMAN
Q9NY84	VNN3	GO:0031225	anchored to membrane	VNN3_HUMAN
Q92610	ZNF592	GO:0005634	nucleus	ZN592_HUMAN
Q8N5D0	WDTC1	GO:0043231	intracellular membrane-bounded organelle	WDTC1_HUMAN
Q8N5D0	WDTC1	GO:0005829	cytosol	WDTC1_HUMAN
Q8N5D0	WDTC1	GO:0005634	nucleus	WDTC1_HUMAN
P46937	YAP1	GO:0005667	transcription factor complex	YAP1_HUMAN
P46937	YAP1	GO:0005654	nucleoplasm	YAP1_HUMAN
P46937	YAP1	GO:0005829	cytosol	YAP1_HUMAN
Q12901	ZNF155	GO:0005634	nucleus	ZN155_HUMAN
Q9ULC8	ZDHHC8	GO:0005739	mitochondrion	ZDHC8_HUMAN
Q9ULC8	ZDHHC8	GO:0016021	integral to membrane	ZDHC8_HUMAN
Q9ULC8	ZDHHC8	GO:0030659	cytoplasmic vesicle membrane	ZDHC8_HUMAN
P43246	MSH2	GO:0032302	MutSbeta complex	MSH2_HUMAN
P43246	MSH2	GO:0032301	MutSalpha complex	MSH2_HUMAN
P43246	MSH2	GO:0000228	nuclear chromosome	MSH2_HUMAN
Q15424	SAFB	GO:0005634	nucleus	SAFB1_HUMAN
Q96LD1	SGCZ	GO:0042383	sarcolemma	SGCZ_HUMAN
Q96LD1	SGCZ	GO:0016012	sarcoglycan complex	SGCZ_HUMAN
Q96LD1	SGCZ	GO:0005856	cytoskeleton	SGCZ_HUMAN
Q96LD1	SGCZ	GO:0005737	cytoplasm	SGCZ_HUMAN
Q96LD1	SGCZ	GO:0016021	integral to membrane	SGCZ_HUMAN
Q9Y566	SHANK1	GO:0097481	neuronal postsynaptic density	SHAN1_HUMAN
Q9Y566	SHANK1	GO:0045211	postsynaptic membrane	SHAN1_HUMAN
Q9Y566	SHANK1	GO:0005737	cytoplasm	SHAN1_HUMAN
Q9Y566	SHANK1	GO:0060076	excitatory synapse	SHAN1_HUMAN
Q9Y566	SHANK1	GO:0017146	N-methyl-D-aspartate selective glutamate receptor complex	SHAN1_HUMAN
Q9Y566	SHANK1	GO:0030054	cell junction	SHAN1_HUMAN
Q96LC7	SIGLEC10	GO:0005886	plasma membrane	SIG10_HUMAN
Q96LC7	SIGLEC10	GO:0005576	extracellular region	SIG10_HUMAN
Q96LC7	SIGLEC10	GO:0016021	integral to membrane	SIG10_HUMAN
Q9Y6G3	MRPL42	GO:0005886	plasma membrane	RM42_HUMAN
Q9Y6G3	MRPL42	GO:0005763	mitochondrial small ribosomal subunit	RM42_HUMAN
P48029	SLC6A8	GO:0016021	integral to membrane	SC6A8_HUMAN
P48029	SLC6A8	GO:0005886	plasma membrane	SC6A8_HUMAN
P48029	SLC6A8	GO:0005887	integral to plasma membrane	SC6A8_HUMAN
P54920	NAPA	GO:0070044	synaptobrevin 2-SNAP-25-syntaxin-1a complex	SNAA_HUMAN
P54920	NAPA	GO:0005829	cytosol	SNAA_HUMAN
Q8IXZ3	SP8	GO:0005634	nucleus	SP8_HUMAN
P47897	QARS	GO:0005759	mitochondrial matrix	SYQ_HUMAN
P47897	QARS	GO:0005829	cytosol	SYQ_HUMAN
P20151	KLK2	GO:0005576	extracellular region	KLK2_HUMAN
Q969Z4	RELT	GO:0005886	plasma membrane	TR19L_HUMAN
Q969Z4	RELT	GO:0005737	cytoplasm	TR19L_HUMAN
Q969Z4	RELT	GO:0016021	integral to membrane	TR19L_HUMAN
P78411	IRX5	GO:0005634	nucleus	IRX5_HUMAN
P57682	KLF3	GO:0005634	nucleus	KLF3_HUMAN
P43034	PAFAH1B1	GO:0031252	cell leading edge	LIS1_HUMAN
P43034	PAFAH1B1	GO:0005875	microtubule associated complex	LIS1_HUMAN
P43034	PAFAH1B1	GO:0005829	cytosol	LIS1_HUMAN
P43034	PAFAH1B1	GO:0005938	cell cortex	LIS1_HUMAN
P43034	PAFAH1B1	GO:0043025	neuronal cell body	LIS1_HUMAN
P43034	PAFAH1B1	GO:0031965	nuclear membrane	LIS1_HUMAN
P43034	PAFAH1B1	GO:0000235	astral microtubule	LIS1_HUMAN
P43034	PAFAH1B1	GO:0000776	kinetochore	LIS1_HUMAN
P43034	PAFAH1B1	GO:0031512	motile primary cilium	LIS1_HUMAN
P43034	PAFAH1B1	GO:0048471	perinuclear region of cytoplasm	LIS1_HUMAN
P43034	PAFAH1B1	GO:0031982	vesicle	LIS1_HUMAN
P43034	PAFAH1B1	GO:0030426	growth cone	LIS1_HUMAN
P43034	PAFAH1B1	GO:0005871	kinesin complex	LIS1_HUMAN
P43034	PAFAH1B1	GO:0005813	centrosome	LIS1_HUMAN
P43034	PAFAH1B1	GO:0005635	nuclear envelope	LIS1_HUMAN
P10914	IRF1	GO:0005829	cytosol	IRF1_HUMAN
P10914	IRF1	GO:0000790	nuclear chromatin	IRF1_HUMAN
P10914	IRF1	GO:0005654	nucleoplasm	IRF1_HUMAN
Q9NQT8	KIF13B	GO:0030424	axon	KI13B_HUMAN
Q9NQT8	KIF13B	GO:0005871	kinesin complex	KI13B_HUMAN
Q9NQT8	KIF13B	GO:0005874	microtubule	KI13B_HUMAN
Q9NQT8	KIF13B	GO:0005737	cytoplasm	KI13B_HUMAN
O14782	KIF3C	GO:0005871	kinesin complex	KIF3C_HUMAN
O14782	KIF3C	GO:0005874	microtubule	KIF3C_HUMAN
O14782	KIF3C	GO:0005829	cytosol	KIF3C_HUMAN
Q9UQQ2	SH2B3	GO:0005829	cytosol	SH2B3_HUMAN
O15296	ALOX15B	GO:0005634	nucleus	LX15B_HUMAN
O15296	ALOX15B	GO:0005856	cytoskeleton	LX15B_HUMAN
O15296	ALOX15B	GO:0005886	plasma membrane	LX15B_HUMAN
O15296	ALOX15B	GO:0005829	cytosol	LX15B_HUMAN
O60449	LY75	GO:0005887	integral to plasma membrane	LY75_HUMAN
P20700	LMNB1	GO:0005638	lamin filament	LMNB1_HUMAN
P20700	LMNB1	GO:0005654	nucleoplasm	LMNB1_HUMAN
P20700	LMNB1	GO:0005635	nuclear envelope	LMNB1_HUMAN
P20700	LMNB1	GO:0005637	nuclear inner membrane	LMNB1_HUMAN
O00534	VWA5A	GO:0005634	nucleus	VMA5A_HUMAN
Q9UHC1	MLH3	GO:0001673	male germ cell nucleus	MLH3_HUMAN
Q9UHC1	MLH3	GO:0005712	chiasma	MLH3_HUMAN
Q9UHC1	MLH3	GO:0032390	MutLbeta complex	MLH3_HUMAN
Q9UHC1	MLH3	GO:0000795	synaptonemal complex	MLH3_HUMAN
Q8N4C8	MINK1	GO:0030425	dendrite	MINK1_HUMAN
Q8N4C8	MINK1	GO:0014069	postsynaptic density	MINK1_HUMAN
Q8N4C8	MINK1	GO:0005794	Golgi apparatus	MINK1_HUMAN
Q8N4C8	MINK1	GO:0030424	axon	MINK1_HUMAN
Q8N4C8	MINK1	GO:0030054	cell junction	MINK1_HUMAN
Q8N4C8	MINK1	GO:0045211	postsynaptic membrane	MINK1_HUMAN
Q96L34	MARK4	GO:0043005	neuron projection	MARK4_HUMAN
Q96L34	MARK4	GO:0005813	centrosome	MARK4_HUMAN
Q96EZ8	MCRS1	GO:0031011	Ino80 complex	MCRS1_HUMAN
Q96EZ8	MCRS1	GO:0071339	MLL1 complex	MCRS1_HUMAN
Q96EZ8	MCRS1	GO:0005737	cytoplasm	MCRS1_HUMAN
Q96EZ8	MCRS1	GO:0000123	histone acetyltransferase complex	MCRS1_HUMAN
Q14994	NR1I3	GO:0005829	cytosol	NR1I3_HUMAN
Q14994	NR1I3	GO:0005654	nucleoplasm	NR1I3_HUMAN
Q14994	NR1I3	GO:0005856	cytoskeleton	NR1I3_HUMAN
Q14994	NR1I3	GO:0005737	cytoplasm	NR1I3_HUMAN
Q01968	OCRL	GO:0005798	Golgi-associated vesicle	OCRL_HUMAN
Q01968	OCRL	GO:0005829	cytosol	OCRL_HUMAN
Q01968	OCRL	GO:0005905	coated pit	OCRL_HUMAN
Q01968	OCRL	GO:0005795	Golgi stack	OCRL_HUMAN
Q01968	OCRL	GO:0001750	photoreceptor outer segment	OCRL_HUMAN
Q01968	OCRL	GO:0005886	plasma membrane	OCRL_HUMAN
Q01968	OCRL	GO:0031901	early endosome membrane	OCRL_HUMAN
Q01968	OCRL	GO:0005634	nucleus	OCRL_HUMAN
Q01968	OCRL	GO:0005769	early endosome	OCRL_HUMAN
Q01968	OCRL	GO:0030670	phagocytic vesicle membrane	OCRL_HUMAN
Q01968	OCRL	GO:0030136	clathrin-coated vesicle	OCRL_HUMAN
Q01968	OCRL	GO:0005802	trans-Golgi network	OCRL_HUMAN
Q8NH64	OR51A7	GO:0005886	plasma membrane	O51A7_HUMAN
Q8NH64	OR51A7	GO:0016021	integral to membrane	O51A7_HUMAN
Q8NGE8	OR4D9	GO:0016021	integral to membrane	OR4D9_HUMAN
Q8NGE8	OR4D9	GO:0005886	plasma membrane	OR4D9_HUMAN
Q8NGG2	OR5T2	GO:0005886	plasma membrane	OR5T2_HUMAN
Q8NGG2	OR5T2	GO:0016021	integral to membrane	OR5T2_HUMAN
Q8NGY7	OR10J6P	GO:0016021	integral to membrane	O10J6_HUMAN
Q8NGY7	OR10J6P	GO:0005886	plasma membrane	O10J6_HUMAN
Q8NGQ4	OR10Q1	GO:0016021	integral to membrane	O10Q1_HUMAN
Q8NGQ4	OR10Q1	GO:0005886	plasma membrane	O10Q1_HUMAN
Q8NG94	OR11H1	GO:0016021	integral to membrane	O11H1_HUMAN
Q8NG94	OR11H1	GO:0005886	plasma membrane	O11H1_HUMAN
P10124	SRGN	GO:0042629	mast cell granule	SRGN_HUMAN
P10124	SRGN	GO:0031093	platelet alpha granule lumen	SRGN_HUMAN
P10124	SRGN	GO:0005794	Golgi apparatus	SRGN_HUMAN
P10124	SRGN	GO:0005615	extracellular space	SRGN_HUMAN
P10124	SRGN	GO:0042588	zymogen granule	SRGN_HUMAN
Q15319	POU4F3	GO:0005634	nucleus	PO4F3_HUMAN
P23284	PPIB	GO:0042470	melanosome	PPIB_HUMAN
P23284	PPIB	GO:0005788	endoplasmic reticulum lumen	PPIB_HUMAN
Q9Y3C6	PPIL1	GO:0071013	catalytic step 2 spliceosome	PPIL1_HUMAN
P49720	PSMB3	GO:0005654	nucleoplasm	PSB3_HUMAN
P49720	PSMB3	GO:0005829	cytosol	PSB3_HUMAN
P49720	PSMB3	GO:0005839	proteasome core complex	PSB3_HUMAN
P55042	RRAD	GO:0005886	plasma membrane	RAD_HUMAN
Q9NX57	RAB20	GO:0045335	phagocytic vesicle	RAB20_HUMAN
Q9NX57	RAB20	GO:0030670	phagocytic vesicle membrane	RAB20_HUMAN
Q9NX57	RAB20	GO:0005794	Golgi apparatus	RAB20_HUMAN
Q02543	RPL18A	GO:0022625	cytosolic large ribosomal subunit	RL18A_HUMAN
Q92901	RPL3L	GO:0022625	cytosolic large ribosomal subunit	RL3L_HUMAN
P18124	RPL7	GO:0022625	cytosolic large ribosomal subunit	RL7_HUMAN
Q9NVW2	RLIM	GO:0017053	transcriptional repressor complex	RNF12_HUMAN
Q9NVW2	RLIM	GO:0005737	cytoplasm	RNF12_HUMAN
Q15637	SF1	GO:0005681	spliceosomal complex	SF01_HUMAN
Q15637	SF1	GO:0005840	ribosome	SF01_HUMAN
P61009	SPCS3	GO:0005789	endoplasmic reticulum membrane	SPCS3_HUMAN
P61009	SPCS3	GO:0005787	signal peptidase complex	SPCS3_HUMAN
P61009	SPCS3	GO:0016021	integral to membrane	SPCS3_HUMAN
Q6UY11	DLK2	GO:0016021	integral to membrane	DLK2_HUMAN
Q6UW49	SPESP1	GO:0001669	acrosomal vesicle	SPESP_HUMAN
Q6UXG2	KIAA1324	GO:0005887	integral to plasma membrane	K1324_HUMAN
Q6UXG2	KIAA1324	GO:0005794	Golgi apparatus	K1324_HUMAN
Q6UXG2	KIAA1324	GO:0005765	lysosomal membrane	K1324_HUMAN
Q6UXG2	KIAA1324	GO:0031902	late endosome membrane	K1324_HUMAN
Q15276	RABEP1	GO:0055037	recycling endosome	RABE1_HUMAN
Q15276	RABEP1	GO:0030139	endocytic vesicle	RABE1_HUMAN
Q15276	RABEP1	GO:0005769	early endosome	RABE1_HUMAN
Q96PB8	LRRC3B	GO:0016021	integral to membrane	LRC3B_HUMAN
Q6P5W5	SLC39A4	GO:0005886	plasma membrane	S39A4_HUMAN
Q6P5W5	SLC39A4	GO:0016324	apical plasma membrane	S39A4_HUMAN
Q6P5W5	SLC39A4	GO:0016021	integral to membrane	S39A4_HUMAN
Q6P5W5	SLC39A4	GO:0055038	recycling endosome membrane	S39A4_HUMAN
Q6P5W5	SLC39A4	GO:0016023	cytoplasmic membrane-bounded vesicle	S39A4_HUMAN
